@RELATION compras

@ATTRIBUTE id NUMERIC
@ATTRIBUTE sexo STRING
@ATTRIBUTE estado_civil STRING
@ATTRIBUTE cidade STRING
@ATTRIBUTE bairro STRING
@ATTRIBUTE estado STRING
@ATTRIBUTE produto STRING
@ATTRIBUTE preco NUMERIC
@ATTRIBUTE estabelecimento STRING
@ATTRIBUTE data_compra DATE "yyyy-MM-dd"

@DATA
2023,"F","DIVORCIADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Practical Copper Wallet",30.67,"GAMES","2017-11-09"
2024,"F","DIVORCIADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Small Marble Knife",66.48,"BELEZA E PERFUMARIA","2017-09-28"
2025,"M","DIVORCIADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Lightweight Paper Coat",11.11,"INFORMATICA","2017-10-21"
2026,"F","CASADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Rustic Cotton Pants",12.01,"ELETRODOMESTICOS","2017-11-02"
2027,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Ergonomic Rubber Gloves",11.69,"INFORMATICA","2017-09-19"
2028,"M","CASADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Enormous Wooden Plate",34.27,"DECORACAO","2017-09-21"
2029,"M","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Lightweight Plastic Gloves",11.5,"BELEZA E PERFUMARIA","2017-10-09"
2030,"M","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Small Rubber Keyboard",30.55,"BRINQUEDOS","2017-09-19"
2031,"M","DIVORCIADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Small Rubber Computer",31.92,"INFORMATICA","2017-10-27"
2032,"M","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Lightweight Concrete Lamp",15.64,"DECORACAO","2017-09-25"
2033,"M","DIVORCIADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Aerodynamic Wool Wallet",78.4,"BELEZA E PERFUMARIA","2017-09-16"
2034,"M","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Durable Marble Shoes",20,"BELEZA E PERFUMARIA","2017-10-17"
2035,"F","VIUVO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Aerodynamic Cotton Bottle",66.8,"LIVROS","2017-11-04"
2036,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Intelligent Silk Watch",51.48,"BELEZA E PERFUMARIA","2017-09-22"
2037,"M","CASADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Intelligent Iron Chair",53.06,"BELEZA E PERFUMARIA","2017-10-11"
2038,"F","VIUVO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Fantastic Plastic Lamp",20.15,"LIVROS","2017-11-07"
2039,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Lightweight Paper Shoes",55.78,"INFORMATICA","2017-09-18"
2040,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Synergistic Concrete Bag",22.02,"ELETRODOMESTICOS","2017-10-21"
2041,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Awesome Copper Wallet",15.47,"DECORACAO","2017-10-19"
2042,"F","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Aerodynamic Leather Bag",85.73,"BELEZA E PERFUMARIA","2017-09-29"
2043,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Wool Knife",35.71,"CELULARES E TELEFONIA","2017-11-02"
2044,"F","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Heavy Duty Wool Clock",7.25,"CELULARES E TELEFONIA","2017-11-05"
2045,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Synergistic Steel Computer",17.2,"CELULARES E TELEFONIA","2017-09-24"
2046,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Intelligent Leather Car",36.85,"INFORMATICA","2017-10-17"
2047,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Sleek Leather Gloves",6.05,"BELEZA E PERFUMARIA","2017-09-25"
2048,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Aerodynamic Cotton Lamp",63.37,"LIVROS","2017-10-27"
2049,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Gorgeous Leather Pants",83.85,"GAMES","2017-09-24"
2050,"M","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Small Leather Gloves",30.46,"DECORACAO","2017-09-17"
2051,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Aerodynamic Wool Table",1.16,"DECORACAO","2017-10-16"
2052,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Small Plastic Shirt",27.18,"GAMES","2017-11-04"
2053,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Intelligent Wool Wallet",75.04,"ELETRODOMESTICOS","2017-10-01"
2054,"M","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Intelligent Marble Gloves",44.43,"ELETRODOMESTICOS","2017-10-07"
2055,"F","CASADO","VITORIA","MARUIPE","ESPIRITO SANTO","Rustic Copper Wallet",74.07,"ELETRODOMESTICOS","2017-09-23"
2056,"F","VIUVO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Sleek Steel Shirt",80.17,"CELULARES E TELEFONIA","2017-11-08"
2057,"F","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Mediocre Plastic Shoes",46.43,"DECORACAO","2017-10-01"
2058,"M","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Ergonomic Granite Knife",93.02,"GAMES","2017-09-29"
2059,"F","VIUVO","VITORIA","CENTRO","ESPIRITO SANTO","Fantastic Copper Bench",84.08,"DECORACAO","2017-10-15"
2060,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Fantastic Leather Bag",57.97,"ELETRODOMESTICOS","2017-09-21"
2061,"F","VIUVO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Durable Cotton Bottle",3.83,"CELULARES E TELEFONIA","2017-10-03"
2062,"M","VIUVO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Lightweight Granite Clock",3.31,"CELULARES E TELEFONIA","2017-11-09"
2063,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Small Plastic Bottle",83.71,"GAMES","2017-10-07"
2064,"F","DIVORCIADO","VITORIA","CENTRO","ESPIRITO SANTO","Synergistic Silk Coat",37.11,"BELEZA E PERFUMARIA","2017-09-16"
2065,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Marble Coat",55.99,"DECORACAO","2017-10-19"
2066,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Gorgeous Paper Wallet",80.55,"ELETRODOMESTICOS","2017-09-21"
2067,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Mediocre Iron Bench",89.03,"ELETRODOMESTICOS","2017-10-22"
2068,"M","DIVORCIADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Ergonomic Copper Keyboard",98.88,"INFORMATICA","2017-10-05"
2069,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Rubber Shirt",12.82,"BRINQUEDOS","2017-09-17"
2070,"M","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Enormous Marble Keyboard",64.88,"BELEZA E PERFUMARIA","2017-10-01"
2071,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Sleek Bronze Clock",54.59,"GAMES","2017-10-11"
2072,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Fantastic Linen Clock",49.64,"BELEZA E PERFUMARIA","2017-11-08"
2073,"F","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Mediocre Rubber Hat",29.3,"GAMES","2017-10-21"
2074,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Awesome Marble Wallet",18.29,"LIVROS","2017-11-06"
2075,"M","DIVORCIADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Durable Aluminum Wallet",74.2,"BRINQUEDOS","2017-10-01"
2076,"M","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Sleek Wooden Car",79.59,"ELETRODOMESTICOS","2017-11-01"
2077,"F","VIUVO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Synergistic Silk Shoes",12.35,"CELULARES E TELEFONIA","2017-09-19"
2078,"F","CASADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Enormous Granite Keyboard",99.55,"GAMES","2017-11-01"
2079,"M","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Gorgeous Concrete Knife",48,"LIVROS","2017-10-24"
2080,"M","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Practical Copper Coat",18.42,"CELULARES E TELEFONIA","2017-11-14"
2081,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Intelligent Linen Plate",68.88,"BRINQUEDOS","2017-10-31"
2082,"F","CASADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Synergistic Aluminum Plate",28.44,"CELULARES E TELEFONIA","2017-11-03"
2083,"M","DIVORCIADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Awesome Granite Knife",31.25,"CELULARES E TELEFONIA","2017-10-11"
2084,"F","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Ergonomic Cotton Computer",26.6,"LIVROS","2017-10-17"
2085,"F","DIVORCIADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Synergistic Leather Wallet",4.38,"BELEZA E PERFUMARIA","2017-10-14"
2086,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Practical Leather Gloves",57.3,"BRINQUEDOS","2017-10-04"
2087,"F","CASADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Sleek Cotton Pants",26.56,"ELETRODOMESTICOS","2017-10-17"
2088,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Awesome Steel Keyboard",84.13,"ELETRODOMESTICOS","2017-10-31"
2089,"F","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Rustic Plastic Keyboard",16.2,"ELETRODOMESTICOS","2017-10-11"
2090,"M","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Practical Bronze Keyboard",34.96,"DECORACAO","2017-10-14"
2091,"F","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Intelligent Steel Hat",71.75,"DECORACAO","2017-10-21"
2092,"M","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Small Wooden Clock",36.56,"GAMES","2017-09-30"
2093,"M","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Ergonomic Silk Keyboard",20.5,"INFORMATICA","2017-11-01"
2094,"M","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Incredible Linen Computer",92.34,"BELEZA E PERFUMARIA","2017-09-19"
2095,"M","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Enormous Wool Chair",28.1,"ELETRODOMESTICOS","2017-09-17"
2096,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Small Iron Bottle",18.45,"INFORMATICA","2017-11-14"
2097,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Rustic Steel Table",12.24,"INFORMATICA","2017-10-17"
2098,"F","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Fantastic Silk Bench",6.24,"ELETRODOMESTICOS","2017-09-23"
2099,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Copper Hat",64.52,"LIVROS","2017-11-02"
2100,"M","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Incredible Linen Chair",47.79,"BRINQUEDOS","2017-11-11"
2101,"F","VIUVO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Heavy Duty Paper Pants",46.99,"BRINQUEDOS","2017-10-01"
2102,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Synergistic Plastic Coat",3.62,"BRINQUEDOS","2017-10-25"
2103,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Aerodynamic Concrete Hat",2.34,"LIVROS","2017-10-05"
2104,"M","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Synergistic Concrete Gloves",48.06,"BELEZA E PERFUMARIA","2017-10-25"
2105,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Sleek Plastic Wallet",34.06,"ELETRODOMESTICOS","2017-09-23"
2106,"M","CASADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Enormous Plastic Lamp",33.14,"CELULARES E TELEFONIA","2017-10-29"
2107,"M","CASADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Incredible Silk Knife",59.73,"LIVROS","2017-10-15"
2108,"F","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Mediocre Rubber Bottle",20.94,"LIVROS","2017-09-16"
2109,"M","VIUVO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Ergonomic Iron Hat",23.71,"BELEZA E PERFUMARIA","2017-10-11"
2110,"F","DIVORCIADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Ergonomic Cotton Bench",34.19,"LIVROS","2017-10-14"
2111,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Gorgeous Plastic Gloves",55.04,"DECORACAO","2017-09-29"
2112,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Bronze Coat",61.63,"LIVROS","2017-11-01"
2113,"F","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Gorgeous Linen Car",97.84,"GAMES","2017-10-05"
2114,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Awesome Wool Lamp",48.67,"CELULARES E TELEFONIA","2017-10-26"
2115,"M","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Fantastic Concrete Wallet",29.52,"ELETRODOMESTICOS","2017-09-20"
2116,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Fantastic Steel Hat",72.6,"ELETRODOMESTICOS","2017-09-15"
2117,"F","CASADO","VITORIA","MARUIPE","ESPIRITO SANTO","Small Copper Table",17.55,"INFORMATICA","2017-10-10"
2118,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Mediocre Aluminum Chair",65.32,"LIVROS","2017-09-22"
2119,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Awesome Paper Chair",49.69,"GAMES","2017-09-25"
2120,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Durable Steel Shoes",4.95,"CELULARES E TELEFONIA","2017-09-16"
2121,"M","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Aerodynamic Cotton Wallet",2.74,"CELULARES E TELEFONIA","2017-09-18"
2122,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Fantastic Bronze Hat",19.3,"GAMES","2017-10-22"
2123,"M","DIVORCIADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Intelligent Iron Knife",18.26,"BRINQUEDOS","2017-10-24"
2124,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Mediocre Granite Bench",4.55,"LIVROS","2017-10-13"
2125,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Fantastic Rubber Shoes",78.16,"DECORACAO","2017-11-02"
2126,"F","CASADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Ergonomic Steel Bottle",72.82,"ELETRODOMESTICOS","2017-11-08"
2127,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Gorgeous Steel Knife",84.94,"BELEZA E PERFUMARIA","2017-10-14"
2128,"F","VIUVO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Mediocre Linen Coat",41.27,"ELETRODOMESTICOS","2017-10-05"
2129,"F","VIUVO","VITORIA","CENTRO","ESPIRITO SANTO","Awesome Rubber Watch",37.97,"BELEZA E PERFUMARIA","2017-09-16"
2130,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Ergonomic Granite Knife",99.25,"INFORMATICA","2017-10-13"
2131,"M","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Gorgeous Copper Hat",24.14,"DECORACAO","2017-11-10"
2132,"M","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Heavy Duty Wool Keyboard",25.26,"DECORACAO","2017-10-08"
2133,"M","VIUVO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Sleek Granite Clock",22.68,"BRINQUEDOS","2017-11-09"
2134,"F","DIVORCIADO","VITORIA","CENTRO","ESPIRITO SANTO","Rustic Wooden Keyboard",16.46,"INFORMATICA","2017-11-12"
2135,"F","DIVORCIADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Small Cotton Gloves",49.02,"BRINQUEDOS","2017-10-02"
2136,"F","CASADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Small Copper Bag",40.8,"DECORACAO","2017-11-07"
2137,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Practical Concrete Lamp",64.27,"BELEZA E PERFUMARIA","2017-10-31"
2138,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Synergistic Rubber Watch",85.94,"BRINQUEDOS","2017-10-02"
2139,"M","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Synergistic Wooden Hat",29.52,"GAMES","2017-11-05"
2140,"M","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Sleek Cotton Table",75.24,"GAMES","2017-10-08"
2141,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Rustic Leather Hat",77.5,"LIVROS","2017-09-30"
2142,"F","VIUVO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Awesome Paper Table",5.67,"LIVROS","2017-10-14"
2143,"F","DIVORCIADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Synergistic Aluminum Plate",76.29,"ELETRODOMESTICOS","2017-10-28"
2144,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Rustic Granite Knife",11.19,"CELULARES E TELEFONIA","2017-11-07"
2145,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Lightweight Copper Shoes",37.94,"INFORMATICA","2017-10-12"
2146,"F","DIVORCIADO","VITORIA","MARUIPE","ESPIRITO SANTO","Fantastic Marble Shoes",63.41,"BRINQUEDOS","2017-09-25"
2147,"F","VIUVO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Durable Paper Gloves",1.59,"BELEZA E PERFUMARIA","2017-10-03"
2148,"F","CASADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Aerodynamic Wool Wallet",96.55,"INFORMATICA","2017-10-04"
2149,"M","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Practical Wooden Chair",62.35,"DECORACAO","2017-11-02"
2150,"M","DIVORCIADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Mediocre Iron Coat",18.98,"BRINQUEDOS","2017-10-25"
2151,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Enormous Iron Shoes",54.48,"BRINQUEDOS","2017-10-07"
2152,"M","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Gorgeous Wooden Keyboard",55.32,"INFORMATICA","2017-11-11"
2153,"M","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Sleek Concrete Clock",94.39,"CELULARES E TELEFONIA","2017-10-08"
2154,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Incredible Wooden Coat",50.3,"BRINQUEDOS","2017-10-14"
2155,"F","CASADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Awesome Wooden Lamp",90.04,"BELEZA E PERFUMARIA","2017-11-14"
2156,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Fantastic Aluminum Chair",29.28,"LIVROS","2017-11-08"
2157,"M","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Ergonomic Aluminum Lamp",28.86,"ELETRODOMESTICOS","2017-10-24"
2158,"F","CASADO","VITORIA","MARUIPE","ESPIRITO SANTO","Mediocre Concrete Lamp",47.46,"ELETRODOMESTICOS","2017-10-21"
2159,"F","DIVORCIADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Practical Marble Wallet",49.56,"CELULARES E TELEFONIA","2017-10-23"
2160,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Enormous Cotton Bench",73.06,"INFORMATICA","2017-10-31"
2161,"M","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Ergonomic Wooden Pants",43.29,"INFORMATICA","2017-10-18"
2162,"M","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Aerodynamic Cotton Watch",3.65,"BRINQUEDOS","2017-11-06"
2163,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Rustic Granite Keyboard",45.8,"CELULARES E TELEFONIA","2017-10-14"
2164,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Gorgeous Marble Wallet",32.68,"BELEZA E PERFUMARIA","2017-11-09"
2165,"F","DIVORCIADO","VITORIA","MARUIPE","ESPIRITO SANTO","Heavy Duty Linen Keyboard",61.89,"BELEZA E PERFUMARIA","2017-09-15"
2166,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Lightweight Concrete Table",52.1,"BELEZA E PERFUMARIA","2017-10-22"
2167,"F","DIVORCIADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Sleek Rubber Shirt",88.84,"ELETRODOMESTICOS","2017-09-26"
2168,"M","VIUVO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Awesome Steel Lamp",82.05,"GAMES","2017-10-09"
2169,"M","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Sleek Wooden Watch",2.7,"BELEZA E PERFUMARIA","2017-09-21"
2170,"F","DIVORCIADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Gorgeous Wool Plate",95.69,"INFORMATICA","2017-11-14"
2171,"M","CASADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Fantastic Bronze Knife",73.47,"BELEZA E PERFUMARIA","2017-09-23"
2172,"F","CASADO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Ergonomic Plastic Shoes",65.11,"ELETRODOMESTICOS","2017-10-14"
2173,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Small Wooden Keyboard",54.33,"INFORMATICA","2017-11-13"
2174,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Lightweight Granite Clock",54.6,"ELETRODOMESTICOS","2017-10-12"
2175,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Enormous Concrete Watch",82.94,"LIVROS","2017-10-28"
