@RELATION compras

@ATTRIBUTE sexo {F,M}
@ATTRIBUTE estado_civil {DIVORCIADO, SOLTEIRO, VIUVO, CASADO}
@ATTRIBUTE bairro {CENTRO, 'SANTO ANTONIO', JUCUTUQUARA, MARUIPE, 'PRAIA DO CANTO', 'SAO PEDRO', GOIABEIRAS, 'JARDIM CAMBURI', 'JARDIM DA PENHA'}
@ATTRIBUTE preco {'ate 100', 'de 100 a 200', 'de 200 a 300', 'de 300 a 400', 'de 400 a 500', 'acima de 500'}
@ATTRIBUTE estabelecimento {INFORMATICA, BRINQUEDOS, 'CELULARES E TELEFONIA', ELETRODOMESTICOS, 'BELEZA E PERFUMARIA', GAMES, LIVROS, DECORACAO}
@ATTRIBUTE data_compra_dia NUMERIC
@ATTRIBUTE data_compra_mes NUMERIC
@ATTRIBUTE data_compra_semana {Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday}
@ATTRIBUTE idade {'18-25', '26-35', '35-45', '46-60', 'acima de 60'}

@DATA
"M","CASADO","GOIABEIRAS","de 100 a 200","GAMES",21,2,"Sunday","18-25"
"M","CASADO","JARDIM CAMBURI","ate 100","INFORMATICA",9,7,"Saturday","46-60"
"M","DIVORCIADO","JARDIM CAMBURI","ate 100","LIVROS",17,8,"Wednesday","26-35"
"M","SOLTEIRO","GOIABEIRAS","de 100 a 200","INFORMATICA",9,10,"Sunday","26-35"
"M","CASADO","JARDIM CAMBURI","ate 100","GAMES",21,5,"Saturday","35-45"
"M","DIVORCIADO","JARDIM DA PENHA","de 100 a 200","LIVROS",31,8,"Wednesday","acima de 60"
"M","CASADO","PRAIA DO CANTO","de 100 a 200","LIVROS",24,5,"Tuesday","35-45"
"M","SOLTEIRO","MARUIPE","ate 100","GAMES",11,10,"Tuesday","acima de 60"
"M","DIVORCIADO","SANTO ANTONIO","ate 100","GAMES",3,10,"Monday","35-45"
"M","CASADO","PRAIA DO CANTO","acima de 500","DECORACAO",17,3,"Thursday","35-45"
"M","SOLTEIRO","JARDIM DA PENHA","ate 100","GAMES",23,7,"Saturday","35-45"
"M","VIUVO","JARDIM CAMBURI","ate 100","INFORMATICA",28,1,"Thursday","26-35"
"M","CASADO","PRAIA DO CANTO","de 100 a 200","GAMES",7,5,"Saturday","26-35"
"M","SOLTEIRO","SANTO ANTONIO","de 100 a 200","BELEZA E PERFUMARIA",7,9,"Wednesday","26-35"
"M","DIVORCIADO","JARDIM CAMBURI","de 200 a 300","INFORMATICA",14,3,"Monday","26-35"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","ELETRODOMESTICOS",2,6,"Thursday","acima de 60"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","GAMES",19,6,"Sunday","26-35"
"M","SOLTEIRO","GOIABEIRAS","de 100 a 200","INFORMATICA",3,11,"Thursday","35-45"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","GAMES",19,8,"Friday","26-35"
"M","SOLTEIRO","PRAIA DO CANTO","de 100 a 200","INFORMATICA",18,3,"Friday","46-60"
"M","CASADO","JARDIM DA PENHA","de 100 a 200","LIVROS",30,11,"Wednesday","35-45"
"M","SOLTEIRO","JARDIM CAMBURI","de 100 a 200","GAMES",29,12,"Thursday","26-35"
"M","SOLTEIRO","CENTRO","de 200 a 300","DECORACAO",17,3,"Thursday","26-35"
"M","DIVORCIADO","JARDIM CAMBURI","ate 100","GAMES",5,3,"Saturday","35-45"
"M","CASADO","MARUIPE","ate 100","ELETRODOMESTICOS",5,5,"Thursday","46-60"
"M","DIVORCIADO","JARDIM DA PENHA","de 200 a 300","GAMES",2,11,"Wednesday","35-45"
"M","SOLTEIRO","PRAIA DO CANTO","de 400 a 500","INFORMATICA",7,1,"Thursday","35-45"
"M","SOLTEIRO","PRAIA DO CANTO","de 100 a 200","ELETRODOMESTICOS",5,5,"Thursday","26-35"
"M","VIUVO","PRAIA DO CANTO","ate 100","LIVROS",1,4,"Friday","35-45"
"M","DIVORCIADO","PRAIA DO CANTO","acima de 500","DECORACAO",12,3,"Saturday","26-35"
"M","CASADO","SAO PEDRO","de 100 a 200","DECORACAO",28,12,"Wednesday","35-45"
"M","SOLTEIRO","PRAIA DO CANTO","ate 100","BELEZA E PERFUMARIA",21,5,"Saturday","26-35"
"M","CASADO","CENTRO","de 100 a 200","BRINQUEDOS",31,12,"Thursday","46-60"
"M","DIVORCIADO","JARDIM CAMBURI","ate 100","INFORMATICA",12,3,"Saturday","26-35"
"M","CASADO","PRAIA DO CANTO","ate 100","GAMES",30,1,"Saturday","46-60"
"M","SOLTEIRO","JARDIM DA PENHA","ate 100","LIVROS",1,1,"Friday","46-60"
"M","CASADO","JARDIM CAMBURI","acima de 500","GAMES",20,4,"Wednesday","46-60"
"M","CASADO","JARDIM CAMBURI","de 400 a 500","BELEZA E PERFUMARIA",14,6,"Tuesday","acima de 60"
"M","SOLTEIRO","JARDIM CAMBURI","de 100 a 200","BRINQUEDOS",19,11,"Saturday","26-35"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","BRINQUEDOS",28,5,"Saturday","46-60"
"M","CASADO","SAO PEDRO","ate 100","INFORMATICA",8,12,"Thursday","18-25"
"M","SOLTEIRO","JARDIM DA PENHA","de 100 a 200","INFORMATICA",25,6,"Saturday","35-45"
"M","CASADO","JARDIM CAMBURI","ate 100","BELEZA E PERFUMARIA",24,12,"Saturday","18-25"
"M","CASADO","GOIABEIRAS","ate 100","ELETRODOMESTICOS",1,7,"Friday","26-35"
"M","DIVORCIADO","SAO PEDRO","de 100 a 200","LIVROS",3,9,"Saturday","46-60"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","BRINQUEDOS",4,8,"Thursday","26-35"
"M","DIVORCIADO","PRAIA DO CANTO","de 100 a 200","GAMES",28,2,"Sunday","18-25"
"M","CASADO","JARDIM CAMBURI","ate 100","GAMES",22,10,"Saturday","35-45"
"M","SOLTEIRO","PRAIA DO CANTO","ate 100","GAMES",2,1,"Saturday","35-45"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","GAMES",17,12,"Saturday","46-60"
"M","CASADO","JARDIM CAMBURI","ate 100","LIVROS",28,1,"Thursday","35-45"
"M","VIUVO","JARDIM CAMBURI","ate 100","INFORMATICA",3,12,"Saturday","35-45"
"M","CASADO","JARDIM CAMBURI","de 400 a 500","GAMES",12,2,"Friday","35-45"
"M","CASADO","PRAIA DO CANTO","de 100 a 200","GAMES",3,12,"Saturday","26-35"
"M","SOLTEIRO","PRAIA DO CANTO","ate 100","BRINQUEDOS",28,5,"Saturday","acima de 60"
"M","CASADO","CENTRO","ate 100","GAMES",26,2,"Friday","46-60"
"M","DIVORCIADO","CENTRO","de 200 a 300","ELETRODOMESTICOS",23,6,"Thursday","46-60"
"M","SOLTEIRO","CENTRO","ate 100","CELULARES E TELEFONIA",24,12,"Saturday","26-35"
"M","CASADO","PRAIA DO CANTO","ate 100","ELETRODOMESTICOS",21,5,"Saturday","46-60"
"M","SOLTEIRO","JARDIM DA PENHA","de 400 a 500","ELETRODOMESTICOS",1,7,"Friday","26-35"
"M","VIUVO","SANTO ANTONIO","ate 100","BRINQUEDOS",30,1,"Saturday","46-60"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","INFORMATICA",16,12,"Friday","35-45"
"M","VIUVO","MARUIPE","de 100 a 200","GAMES",18,11,"Friday","26-35"
"M","SOLTEIRO","JARDIM CAMBURI","de 200 a 300","BELEZA E PERFUMARIA",18,12,"Sunday","acima de 60"
"M","VIUVO","MARUIPE","de 100 a 200","BRINQUEDOS",10,5,"Tuesday","35-45"
"M","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","LIVROS",24,11,"Thursday","26-35"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","GAMES",18,12,"Sunday","acima de 60"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","GAMES",27,7,"Wednesday","18-25"
"M","CASADO","SAO PEDRO","ate 100","GAMES",5,9,"Monday","acima de 60"
"M","DIVORCIADO","PRAIA DO CANTO","de 100 a 200","LIVROS",26,6,"Sunday","35-45"
"M","SOLTEIRO","CENTRO","ate 100","GAMES",1,2,"Monday","26-35"
"M","DIVORCIADO","PRAIA DO CANTO","ate 100","GAMES",21,1,"Thursday","acima de 60"
"M","CASADO","MARUIPE","de 200 a 300","INFORMATICA",7,5,"Saturday","35-45"
"M","VIUVO","JARDIM CAMBURI","de 100 a 200","BELEZA E PERFUMARIA",8,6,"Wednesday","acima de 60"
"M","CASADO","PRAIA DO CANTO","ate 100","DECORACAO",18,11,"Friday","26-35"
"M","CASADO","MARUIPE","de 100 a 200","LIVROS",18,12,"Sunday","35-45"
"M","SOLTEIRO","SAO PEDRO","de 100 a 200","INFORMATICA",8,5,"Sunday","26-35"
"M","SOLTEIRO","JARDIM CAMBURI","de 200 a 300","CELULARES E TELEFONIA",13,2,"Saturday","26-35"
"M","VIUVO","SANTO ANTONIO","ate 100","GAMES",2,4,"Saturday","26-35"
"M","CASADO","JARDIM CAMBURI","de 400 a 500","INFORMATICA",6,6,"Monday","acima de 60"
"M","CASADO","PRAIA DO CANTO","ate 100","GAMES",26,11,"Saturday","35-45"
"M","DIVORCIADO","CENTRO","acima de 500","DECORACAO",20,4,"Wednesday","46-60"
"M","CASADO","PRAIA DO CANTO","ate 100","INFORMATICA",29,1,"Friday","26-35"
"M","VIUVO","JARDIM DA PENHA","de 100 a 200","INFORMATICA",2,12,"Friday","35-45"
"M","SOLTEIRO","PRAIA DO CANTO","ate 100","GAMES",25,6,"Saturday","acima de 60"
"M","CASADO","JARDIM CAMBURI","ate 100","INFORMATICA",1,1,"Friday","26-35"
"M","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","BRINQUEDOS",4,3,"Friday","35-45"
"M","CASADO","CENTRO","de 400 a 500","BRINQUEDOS",29,10,"Saturday","acima de 60"
"M","CASADO","CENTRO","ate 100","DECORACAO",5,7,"Tuesday","acima de 60"
"M","CASADO","GOIABEIRAS","ate 100","LIVROS",20,3,"Sunday","35-45"
"M","CASADO","JUCUTUQUARA","de 400 a 500","LIVROS",27,2,"Saturday","35-45"
"M","CASADO","PRAIA DO CANTO","ate 100","CELULARES E TELEFONIA",1,12,"Thursday","35-45"
"M","SOLTEIRO","JARDIM CAMBURI","de 400 a 500","CELULARES E TELEFONIA",26,4,"Tuesday","acima de 60"
"M","CASADO","JARDIM CAMBURI","de 400 a 500","CELULARES E TELEFONIA",27,2,"Saturday","26-35"
"M","CASADO","JARDIM CAMBURI","acima de 500","BRINQUEDOS",3,7,"Sunday","26-35"
"M","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","LIVROS",1,4,"Friday","26-35"
"M","SOLTEIRO","PRAIA DO CANTO","ate 100","LIVROS",23,9,"Friday","35-45"
"M","CASADO","JUCUTUQUARA","ate 100","BRINQUEDOS",9,4,"Saturday","26-35"
"M","CASADO","CENTRO","ate 100","GAMES",16,4,"Saturday","acima de 60"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","INFORMATICA",15,5,"Sunday","46-60"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","GAMES",23,6,"Thursday","acima de 60"
"M","DIVORCIADO","PRAIA DO CANTO","acima de 500","ELETRODOMESTICOS",1,10,"Saturday","26-35"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","ELETRODOMESTICOS",1,9,"Thursday","35-45"
"M","VIUVO","SAO PEDRO","acima de 500","BRINQUEDOS",30,7,"Saturday","acima de 60"
"M","SOLTEIRO","MARUIPE","de 200 a 300","GAMES",29,7,"Friday","acima de 60"
"M","DIVORCIADO","PRAIA DO CANTO","de 400 a 500","LIVROS",9,6,"Thursday","26-35"
"M","CASADO","JARDIM CAMBURI","ate 100","GAMES",10,12,"Saturday","26-35"
"M","VIUVO","SAO PEDRO","de 100 a 200","INFORMATICA",25,9,"Sunday","26-35"
"M","CASADO","PRAIA DO CANTO","ate 100","INFORMATICA",13,8,"Saturday","35-45"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","GAMES",25,6,"Saturday","18-25"
"M","CASADO","GOIABEIRAS","acima de 500","LIVROS",2,8,"Tuesday","26-35"
"M","DIVORCIADO","MARUIPE","ate 100","GAMES",24,9,"Saturday","35-45"
"M","SOLTEIRO","CENTRO","de 100 a 200","GAMES",19,11,"Saturday","acima de 60"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","ELETRODOMESTICOS",8,10,"Saturday","26-35"
"M","DIVORCIADO","PRAIA DO CANTO","de 200 a 300","INFORMATICA",17,7,"Sunday","26-35"
"M","DIVORCIADO","PRAIA DO CANTO","acima de 500","BRINQUEDOS",6,2,"Saturday","35-45"
"M","CASADO","SAO PEDRO","de 100 a 200","LIVROS",9,1,"Saturday","26-35"
"M","CASADO","GOIABEIRAS","ate 100","BELEZA E PERFUMARIA",27,7,"Wednesday","26-35"
"M","SOLTEIRO","SANTO ANTONIO","de 100 a 200","BELEZA E PERFUMARIA",19,12,"Monday","26-35"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","GAMES",15,7,"Friday","46-60"
"M","CASADO","PRAIA DO CANTO","ate 100","INFORMATICA",20,3,"Sunday","26-35"
"M","DIVORCIADO","SAO PEDRO","ate 100","LIVROS",21,2,"Sunday","acima de 60"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","INFORMATICA",25,5,"Wednesday","acima de 60"
"M","CASADO","JUCUTUQUARA","de 100 a 200","INFORMATICA",13,1,"Wednesday","26-35"
"M","CASADO","PRAIA DO CANTO","acima de 500","INFORMATICA",21,5,"Saturday","26-35"
"M","CASADO","CENTRO","de 100 a 200","ELETRODOMESTICOS",25,9,"Sunday","acima de 60"
"M","CASADO","GOIABEIRAS","ate 100","ELETRODOMESTICOS",19,11,"Saturday","46-60"
"M","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","DECORACAO",9,12,"Friday","18-25"
"M","SOLTEIRO","SANTO ANTONIO","ate 100","INFORMATICA",28,5,"Saturday","46-60"
"M","DIVORCIADO","CENTRO","de 100 a 200","INFORMATICA",13,11,"Sunday","18-25"
"M","VIUVO","SAO PEDRO","acima de 500","GAMES",6,2,"Saturday","35-45"
"M","VIUVO","JARDIM CAMBURI","de 100 a 200","CELULARES E TELEFONIA",28,2,"Sunday","26-35"
"M","VIUVO","PRAIA DO CANTO","ate 100","CELULARES E TELEFONIA",27,11,"Sunday","26-35"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","CELULARES E TELEFONIA",8,10,"Saturday","18-25"
"M","CASADO","CENTRO","de 400 a 500","GAMES",23,1,"Saturday","35-45"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","LIVROS",20,1,"Wednesday","35-45"
"M","CASADO","JARDIM CAMBURI","de 400 a 500","ELETRODOMESTICOS",3,11,"Thursday","26-35"
"M","CASADO","SANTO ANTONIO","de 100 a 200","GAMES",12,8,"Friday","26-35"
"M","DIVORCIADO","JARDIM CAMBURI","acima de 500","GAMES",15,2,"Monday","18-25"
"M","CASADO","PRAIA DO CANTO","ate 100","INFORMATICA",21,9,"Wednesday","acima de 60"
"M","CASADO","JARDIM CAMBURI","ate 100","LIVROS",22,1,"Friday","18-25"
"M","CASADO","JUCUTUQUARA","de 100 a 200","CELULARES E TELEFONIA",26,11,"Saturday","26-35"
"M","VIUVO","PRAIA DO CANTO","de 100 a 200","DECORACAO",25,10,"Tuesday","acima de 60"
"M","CASADO","JUCUTUQUARA","de 100 a 200","ELETRODOMESTICOS",27,8,"Saturday","26-35"
"M","CASADO","JARDIM DA PENHA","ate 100","LIVROS",23,6,"Thursday","26-35"
"M","CASADO","JARDIM CAMBURI","ate 100","ELETRODOMESTICOS",12,8,"Friday","26-35"
"M","SOLTEIRO","JARDIM CAMBURI","acima de 500","INFORMATICA",1,7,"Friday","35-45"
"M","CASADO","JARDIM CAMBURI","ate 100","GAMES",31,8,"Wednesday","46-60"
"M","DIVORCIADO","PRAIA DO CANTO","ate 100","ELETRODOMESTICOS",5,3,"Saturday","35-45"
"M","CASADO","JARDIM CAMBURI","de 400 a 500","INFORMATICA",8,10,"Saturday","acima de 60"
"M","SOLTEIRO","GOIABEIRAS","de 200 a 300","GAMES",30,12,"Friday","35-45"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","BRINQUEDOS",2,4,"Saturday","acima de 60"
"M","SOLTEIRO","CENTRO","acima de 500","INFORMATICA",24,9,"Saturday","46-60"
"M","CASADO","PRAIA DO CANTO","de 100 a 200","LIVROS",28,5,"Saturday","46-60"
"M","DIVORCIADO","PRAIA DO CANTO","ate 100","GAMES",20,6,"Monday","46-60"
"M","VIUVO","CENTRO","de 100 a 200","BRINQUEDOS",6,5,"Friday","26-35"
"M","SOLTEIRO","CENTRO","ate 100","LIVROS",4,4,"Monday","35-45"
"M","CASADO","PRAIA DO CANTO","ate 100","INFORMATICA",16,3,"Wednesday","18-25"
"M","DIVORCIADO","CENTRO","de 100 a 200","GAMES",16,7,"Saturday","46-60"
"M","SOLTEIRO","JUCUTUQUARA","acima de 500","INFORMATICA",9,10,"Sunday","35-45"
"M","SOLTEIRO","JARDIM CAMBURI","de 100 a 200","GAMES",19,2,"Friday","26-35"
"M","SOLTEIRO","PRAIA DO CANTO","de 100 a 200","BRINQUEDOS",1,4,"Friday","acima de 60"
"M","SOLTEIRO","JARDIM CAMBURI","de 400 a 500","GAMES",3,9,"Saturday","18-25"
"M","CASADO","CENTRO","acima de 500","ELETRODOMESTICOS",21,9,"Wednesday","26-35"
"M","SOLTEIRO","SANTO ANTONIO","de 400 a 500","LIVROS",22,6,"Wednesday","46-60"
"M","SOLTEIRO","PRAIA DO CANTO","ate 100","BRINQUEDOS",5,8,"Friday","26-35"
"M","VIUVO","PRAIA DO CANTO","ate 100","CELULARES E TELEFONIA",11,2,"Thursday","46-60"
"M","VIUVO","MARUIPE","de 200 a 300","INFORMATICA",25,3,"Friday","35-45"
"M","CASADO","JUCUTUQUARA","acima de 500","INFORMATICA",15,10,"Saturday","35-45"
"M","VIUVO","PRAIA DO CANTO","de 100 a 200","INFORMATICA",18,3,"Friday","acima de 60"
"M","CASADO","GOIABEIRAS","de 100 a 200","BELEZA E PERFUMARIA",24,3,"Thursday","acima de 60"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","INFORMATICA",18,6,"Saturday","35-45"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","BELEZA E PERFUMARIA",2,4,"Saturday","46-60"
"M","VIUVO","JARDIM CAMBURI","de 400 a 500","ELETRODOMESTICOS",4,11,"Friday","26-35"
"M","DIVORCIADO","JARDIM CAMBURI","ate 100","INFORMATICA",24,8,"Wednesday","acima de 60"
"M","CASADO","CENTRO","de 400 a 500","LIVROS",31,12,"Thursday","46-60"
"M","CASADO","PRAIA DO CANTO","ate 100","BRINQUEDOS",15,4,"Friday","acima de 60"
"M","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","GAMES",14,3,"Monday","46-60"
"M","CASADO","CENTRO","ate 100","INFORMATICA",29,10,"Saturday","35-45"
"M","DIVORCIADO","CENTRO","ate 100","LIVROS",3,6,"Friday","acima de 60"
"M","SOLTEIRO","JARDIM DA PENHA","de 400 a 500","BELEZA E PERFUMARIA",26,7,"Tuesday","35-45"
"M","CASADO","JARDIM DA PENHA","ate 100","ELETRODOMESTICOS",3,4,"Sunday","35-45"
"M","DIVORCIADO","GOIABEIRAS","de 100 a 200","BRINQUEDOS",2,4,"Saturday","35-45"
"M","CASADO","SANTO ANTONIO","de 400 a 500","BELEZA E PERFUMARIA",15,10,"Saturday","18-25"
"M","DIVORCIADO","JARDIM CAMBURI","ate 100","INFORMATICA",9,3,"Wednesday","18-25"
"M","CASADO","CENTRO","de 200 a 300","BRINQUEDOS",10,4,"Sunday","18-25"
"M","CASADO","JARDIM CAMBURI","acima de 500","GAMES",22,5,"Sunday","18-25"
"M","SOLTEIRO","JARDIM CAMBURI","de 100 a 200","INFORMATICA",14,9,"Wednesday","26-35"
"M","CASADO","JARDIM CAMBURI","ate 100","DECORACAO",9,7,"Saturday","35-45"
"M","SOLTEIRO","PRAIA DO CANTO","de 100 a 200","GAMES",29,4,"Friday","46-60"
"M","VIUVO","JARDIM CAMBURI","de 100 a 200","GAMES",24,2,"Wednesday","46-60"
"M","VIUVO","PRAIA DO CANTO","de 200 a 300","BELEZA E PERFUMARIA",6,4,"Wednesday","46-60"
"M","CASADO","SAO PEDRO","de 200 a 300","INFORMATICA",22,9,"Thursday","35-45"
"M","CASADO","MARUIPE","ate 100","INFORMATICA",20,5,"Friday","35-45"
"M","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","GAMES",19,5,"Thursday","35-45"
"M","SOLTEIRO","JUCUTUQUARA","ate 100","BRINQUEDOS",15,4,"Friday","35-45"
"M","SOLTEIRO","JARDIM CAMBURI","de 100 a 200","BELEZA E PERFUMARIA",29,1,"Friday","35-45"
"M","CASADO","JUCUTUQUARA","ate 100","GAMES",23,1,"Saturday","26-35"
"M","CASADO","JARDIM CAMBURI","de 100 a 200","INFORMATICA",6,5,"Friday","46-60"
"M","CASADO","JARDIM CAMBURI","de 400 a 500","GAMES",30,4,"Saturday","26-35"
"M","CASADO","PRAIA DO CANTO","ate 100","INFORMATICA",28,5,"Saturday","acima de 60"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","GAMES",15,5,"Sunday","26-35"
"M","DIVORCIADO","SAO PEDRO","ate 100","CELULARES E TELEFONIA",22,1,"Friday","18-25"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","CELULARES E TELEFONIA",12,1,"Tuesday","26-35"
"M","CASADO","PRAIA DO CANTO","ate 100","BRINQUEDOS",9,4,"Saturday","26-35"
"M","VIUVO","PRAIA DO CANTO","ate 100","GAMES",18,6,"Saturday","18-25"
"M","SOLTEIRO","JUCUTUQUARA","ate 100","GAMES",3,12,"Saturday","35-45"
"M","SOLTEIRO","JARDIM CAMBURI","acima de 500","INFORMATICA",8,4,"Friday","46-60"
"M","CASADO","JARDIM CAMBURI","de 400 a 500","GAMES",24,9,"Saturday","35-45"
"M","SOLTEIRO","JARDIM CAMBURI","ate 100","CELULARES E TELEFONIA",13,6,"Monday","35-45"
"M","DIVORCIADO","JARDIM CAMBURI","de 400 a 500","INFORMATICA",4,6,"Saturday","18-25"
"M","DIVORCIADO","CENTRO","ate 100","BELEZA E PERFUMARIA",10,4,"Sunday","35-45"
"M","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","LIVROS",16,4,"Saturday","26-35"
"M","CASADO","JARDIM DA PENHA","de 200 a 300","GAMES",5,3,"Saturday","acima de 60"
"M","DIVORCIADO","SANTO ANTONIO","de 400 a 500","BELEZA E PERFUMARIA",26,1,"Tuesday","26-35"
"M","SOLTEIRO","SAO PEDRO","ate 100","ELETRODOMESTICOS",3,3,"Thursday","26-35"
"M","CASADO","MARUIPE","de 100 a 200","BRINQUEDOS",19,3,"Saturday","acima de 60"
"M","SOLTEIRO","PRAIA DO CANTO","ate 100","BRINQUEDOS",17,6,"Friday","35-45"
"M","CASADO","GOIABEIRAS","de 100 a 200","CELULARES E TELEFONIA",19,11,"Saturday","acima de 60"
"M","DIVORCIADO","JARDIM CAMBURI","de 100 a 200","INFORMATICA",23,10,"Sunday","26-35"
"M","CASADO","JARDIM CAMBURI","de 200 a 300","LIVROS",2,7,"Saturday","26-35"
"M","VIUVO","JARDIM DA PENHA","ate 100","GAMES",30,12,"Friday","35-45"
"M","CASADO","PRAIA DO CANTO","acima de 500","GAMES",13,9,"Tuesday","35-45"
"M","CASADO","SAO PEDRO","de 100 a 200","GAMES",19,6,"Sunday","46-60"
"M","SOLTEIRO","JARDIM CAMBURI","de 100 a 200","GAMES",2,3,"Wednesday","acima de 60"
"M","SOLTEIRO","PRAIA DO CANTO","de 200 a 300","INFORMATICA",20,2,"Saturday","acima de 60"
"M","VIUVO","MARUIPE","de 100 a 200","INFORMATICA",13,8,"Saturday","26-35"
"M","CASADO","CENTRO","de 400 a 500","INFORMATICA",26,11,"Saturday","acima de 60"
"M","DIVORCIADO","JARDIM CAMBURI","ate 100","BELEZA E PERFUMARIA",5,2,"Friday","acima de 60"
"M","SOLTEIRO","PRAIA DO CANTO","de 400 a 500","GAMES",13,9,"Tuesday","acima de 60"
"M","SOLTEIRO","MARUIPE","de 400 a 500","INFORMATICA",5,2,"Friday","26-35"
"M","DIVORCIADO","JARDIM CAMBURI","ate 100","INFORMATICA",26,6,"Sunday","acima de 60"
"M","DIVORCIADO","JARDIM DA PENHA","de 100 a 200","GAMES",26,11,"Saturday","46-60"
"M","SOLTEIRO","PRAIA DO CANTO","ate 100","BRINQUEDOS",10,12,"Saturday","46-60"
"M","SOLTEIRO","PRAIA DO CANTO","de 100 a 200","INFORMATICA",1,7,"Friday","46-60"
"M","SOLTEIRO","SAO PEDRO","ate 100","BRINQUEDOS",9,6,"Thursday","46-60"
"M","VIUVO","JARDIM CAMBURI","ate 100","BRINQUEDOS",21,3,"Monday","46-60"
"M","CASADO","SANTO ANTONIO","ate 100","LIVROS",17,10,"Monday","26-35"
"M","CASADO","PRAIA DO CANTO","acima de 500","GAMES",7,5,"Saturday","35-45"
"M","CASADO","GOIABEIRAS","ate 100","CELULARES E TELEFONIA",20,8,"Saturday","acima de 60"
"M","SOLTEIRO","GOIABEIRAS","de 100 a 200","GAMES",9,12,"Friday","46-60"
"M","CASADO","GOIABEIRAS","ate 100","INFORMATICA",13,10,"Thursday","acima de 60"
"M","DIVORCIADO","CENTRO","de 100 a 200","BRINQUEDOS",2,4,"Saturday","acima de 60"
"M","SOLTEIRO","CENTRO","de 200 a 300","CELULARES E TELEFONIA",29,5,"Sunday","35-45"
