@RELATION compras

@ATTRIBUTE id NUMERIC
@ATTRIBUTE sexo {F,M}
@ATTRIBUTE estado_civil {DIVORCIADO, SOLTEIRO, VIUVO, CASADO}
@ATTRIBUTE cidade {VITORIA}
@ATTRIBUTE bairro {CENTRO, 'SANTO ANTONIO', JUCUTUQUARA, MARUIPE, 'PRAIA DO CANTO', 'SAO PEDRO', GOIABEIRAS, 'JARDIM CAMBURI', 'JARDIM DA PENHA'}
@ATTRIBUTE estado {'ESPIRITO SANTO'}
@ATTRIBUTE produto STRING
@ATTRIBUTE preco NUMERIC
@ATTRIBUTE estabelecimento {INFORMATICA, BRINQUEDOS, 'CELULARES E TELEFONIA', ELETRODOMESTICOS, 'BELEZA E PERFUMARIA', GAMES, LIVROS, DECORACAO}
@ATTRIBUTE data_compra DATE "yyyy-MM-dd"
@ATTRIBUTE data_compra_dia NUMERIC
@ATTRIBUTE data_compra_mes NUMERIC
@ATTRIBUTE data_compra_semana {DOMINGO, SEGUNDA, TERCA, QUARTA, QUINTA, SEXTA, SABADO}

@DATA
47,"F","VIUVO","VITORIA","CENTRO","ESPIRITO SANTO","Aerodynamic Copper Shirt",79.77,"BELEZA E PERFUMARIA","2016-12-02",6,5,"SABADO"
48,"F","VIUVO","VITORIA","CENTRO","ESPIRITO SANTO","Aerodynamic Paper Bench",2.09,"CELULARES E TELEFONIA","2016-01-29",22,4,"SEXTA"
49,"F","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Fantastic Aluminum Knife",9.9,"GAMES","2016-08-05",26,11,"SABADO"
50,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Enormous Granite Pants",55.73,"BRINQUEDOS","2016-10-12",15,3,"SABADO"
51,"F","DIVORCIADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Gorgeous Rubber Lamp",76.02,"BRINQUEDOS","2016-09-07",12,9,"SABADO"
52,"F","DIVORCIADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Ergonomic Wooden Clock",76.73,"BRINQUEDOS","2016-08-06",2,10,"SEXTA"
53,"M","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Lightweight Bronze Lamp",30.75,"BRINQUEDOS","2016-06-23",19,10,"SABADO"
54,"F","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Aluminum Coat",5.83,"BELEZA E PERFUMARIA","2016-06-23",3,6,"SABADO"
55,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Small Iron Hat",32.3,"LIVROS","2016-08-24",20,8,"DOMINGO"
56,"F","DIVORCIADO","VITORIA","MARUIPE","ESPIRITO SANTO","Intelligent Iron Clock",54.71,"BRINQUEDOS","2016-07-31",1,11,"SABADO"
57,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Gorgeous Wool Lamp",31.31,"INFORMATICA","2016-11-08",14,12,"SABADO"
58,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Ergonomic Aluminum Bench",92.77,"INFORMATICA","2016-05-19",2,6,"SABADO"
59,"M","VIUVO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Heavy Duty Cotton Pants",18.82,"CELULARES E TELEFONIA","2016-04-21",1,8,"SABADO"
60,"M","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Durable Wool Wallet",98.57,"LIVROS","2016-12-24",8,10,"TERCA"
61,"M","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Incredible Plastic Gloves",45.47,"BRINQUEDOS","2016-05-01",21,2,"DOMINGO"
62,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Sleek Cotton Chair",28.73,"GAMES","2016-01-14",3,11,"SABADO"
63,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Intelligent Concrete Bench",81.86,"ELETRODOMESTICOS","2016-06-17",2,11,"SABADO"
64,"M","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Intelligent Copper Clock",98.76,"BRINQUEDOS","2016-08-21",1,6,"SEXTA"
65,"F","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Incredible Bronze Table",47.68,"CELULARES E TELEFONIA","2016-11-23",3,4,"SABADO"
66,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Gorgeous Bronze Bag",54.79,"BRINQUEDOS","2016-07-11",5,4,"SEXTA"
67,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Cotton Clock",38.73,"INFORMATICA","2016-03-14",31,10,"SABADO"
68,"F","CASADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Awesome Wooden Shoes",89.74,"BELEZA E PERFUMARIA","2016-04-07",29,11,"SABADO"
69,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Small Plastic Coat",66.09,"BELEZA E PERFUMARIA","2016-02-28",28,4,"SABADO"
70,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Synergistic Leather Shoes",7.76,"GAMES","2016-03-31",9,12,"DOMINGO"
71,"F","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Aluminum Gloves",31.83,"GAMES","2016-06-12",13,1,"TERCA"
72,"F","DIVORCIADO","VITORIA","CENTRO","ESPIRITO SANTO","Durable Bronze Coat",44.72,"BELEZA E PERFUMARIA","2016-08-31",8,6,"DOMINGO"
73,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Heavy Duty Plastic Coat",72.63,"GAMES","2016-11-17",5,9,"SEXTA"
74,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Gorgeous Steel Computer",73.99,"INFORMATICA","2016-11-27",8,8,"SABADO"
75,"M","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Fantastic Linen Shirt",62.14,"BRINQUEDOS","2016-04-15",2,10,"SABADO"
76,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Enormous Wool Bench",64.4,"BRINQUEDOS","2016-08-03",13,11,"SABADO"
77,"M","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Practical Silk Knife",77.4,"BELEZA E PERFUMARIA","2016-01-29",21,7,"SEXTA"
78,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Sleek Marble Clock",48.49,"INFORMATICA","2016-12-30",7,8,"SABADO"
79,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Leather Keyboard",68.28,"GAMES","2016-05-28",4,9,"DOMINGO"
80,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Enormous Wooden Car",6.66,"LIVROS","2016-08-23",24,1,"SEXTA"
81,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Small Steel Wallet",64.74,"CELULARES E TELEFONIA","2016-03-25",10,2,"SABADO"
82,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Marble Gloves",14.3,"INFORMATICA","2016-09-10",21,7,"SEXTA"
83,"F","DIVORCIADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Heavy Duty Wooden Bag",62.29,"ELETRODOMESTICOS","2016-07-25",2,10,"SABADO"
84,"F","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Aerodynamic Linen Keyboard",8.47,"GAMES","2016-02-23",30,2,"SABADO"
85,"F","VIUVO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Aerodynamic Linen Lamp",21.84,"LIVROS","2016-05-26",28,7,"SEXTA"
86,"F","DIVORCIADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Mediocre Steel Plate",10.85,"DECORACAO","2016-05-12",22,10,"SABADO"
87,"F","VIUVO","VITORIA","MARUIPE","ESPIRITO SANTO","Enormous Iron Bag",40.41,"INFORMATICA","2016-06-13",5,11,"SABADO"
88,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Aerodynamic Iron Pants",89.97,"BELEZA E PERFUMARIA","2016-07-29",11,12,"SABADO"
89,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Aerodynamic Wooden Computer",54.77,"INFORMATICA","2016-12-05",12,7,"SEXTA"
90,"M","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Lightweight Granite Pants",93.88,"DECORACAO","2016-11-15",23,9,"SABADO"
91,"F","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Lightweight Silk Computer",57.14,"INFORMATICA","2016-08-10",17,11,"DOMINGO"
92,"F","CASADO","VITORIA","MARUIPE","ESPIRITO SANTO","Sleek Wooden Watch",14.43,"CELULARES E TELEFONIA","2016-10-15",8,9,"DOMINGO"
93,"F","CASADO","VITORIA","MARUIPE","ESPIRITO SANTO","Enormous Wooden Knife",44.65,"CELULARES E TELEFONIA","2016-12-19",12,3,"QUARTA"
94,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Awesome Paper Hat",77.49,"BRINQUEDOS","2016-02-06",25,11,"QUINTA"
95,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Practical Paper Car",7.88,"BELEZA E PERFUMARIA","2016-08-17",15,3,"DOMINGO"
96,"F","DIVORCIADO","VITORIA","MARUIPE","ESPIRITO SANTO","Rustic Steel Pants",68.38,"BRINQUEDOS","2016-11-11",13,10,"SEXTA"
97,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Enormous Cotton Coat",72.07,"LIVROS","2016-12-23",10,10,"SABADO"
98,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Synergistic Plastic Chair",59.8,"BELEZA E PERFUMARIA","2016-07-15",5,3,"QUARTA"
99,"M","DIVORCIADO","VITORIA","MARUIPE","ESPIRITO SANTO","Sleek Linen Hat",67.24,"LIVROS","2016-06-02",12,7,"QUINTA"
100,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Awesome Linen Bottle",29.71,"INFORMATICA","2016-07-05",1,8,"DOMINGO"
101,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Ergonomic Aluminum Clock",46.92,"BELEZA E PERFUMARIA","2016-11-27",8,11,"SEXTA"
102,"F","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Intelligent Linen Clock",92.3,"BELEZA E PERFUMARIA","2016-01-19",4,10,"DOMINGO"
103,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Fantastic Iron Wallet",34.06,"DECORACAO","2016-06-17",11,10,"SEXTA"
104,"M","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Mediocre Granite Keyboard",73.32,"INFORMATICA","2016-09-07",23,12,"SABADO"
105,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Small Aluminum Car",37.27,"INFORMATICA","2016-06-14",9,12,"SEXTA"
106,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Lightweight Silk Car",21.1,"BELEZA E PERFUMARIA","2016-09-03",6,8,"DOMINGO"
107,"M","VIUVO","VITORIA","MARUIPE","ESPIRITO SANTO","Lightweight Rubber Shoes",54.13,"BELEZA E PERFUMARIA","2016-12-29",5,8,"SABADO"
108,"F","VIUVO","VITORIA","CENTRO","ESPIRITO SANTO","Aerodynamic Plastic Computer",89.04,"INFORMATICA","2016-02-04",13,8,"DOMINGO"
109,"F","VIUVO","VITORIA","CENTRO","ESPIRITO SANTO","Heavy Duty Rubber Watch",97.21,"INFORMATICA","2016-06-18",28,1,"SEGUNDA"
110,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Wool Chair",8.35,"INFORMATICA","2016-12-10",24,10,"DOMINGO"
111,"F","CASADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Synergistic Steel Chair",7.22,"BELEZA E PERFUMARIA","2016-12-29",29,6,"SEGUNDA"
112,"M","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Iron Knife",2.05,"LIVROS","2016-03-15",14,12,"QUARTA"
113,"M","DIVORCIADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Small Granite Bottle",37.92,"INFORMATICA","2016-03-31",18,9,"QUARTA"
114,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Lightweight Steel Computer",18.21,"LIVROS","2016-08-16",22,10,"QUARTA"
115,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Intelligent Marble Wallet",71.78,"GAMES","2016-10-19",6,3,"SABADO"
116,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Ergonomic Granite Bench",85.55,"INFORMATICA","2016-12-06",15,9,"DOMINGO"
117,"M","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Awesome Iron Keyboard",85,"GAMES","2016-08-31",6,10,"SABADO"
118,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Durable Steel Hat",66.04,"CELULARES E TELEFONIA","2016-03-23",9,7,"SEXTA"
119,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Durable Leather Knife",39.64,"BELEZA E PERFUMARIA","2016-11-01",18,4,"SEXTA"
120,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Ergonomic Aluminum Wallet",30.73,"GAMES","2016-01-29",26,12,"SABADO"
121,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Rustic Wooden Bench",54.05,"BRINQUEDOS","2016-02-07",11,1,"DOMINGO"
122,"F","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Small Bronze Bag",65.46,"GAMES","2016-06-24",8,7,"SABADO"
123,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Intelligent Iron Shoes",25.11,"BRINQUEDOS","2016-12-01",5,6,"QUARTA"
124,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Practical Paper Pants",53.75,"ELETRODOMESTICOS","2016-04-25",28,4,"QUINTA"
125,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Ergonomic Plastic Table",81.33,"LIVROS","2016-09-12",25,6,"SEXTA"
126,"M","VIUVO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Mediocre Bronze Chair",40.33,"INFORMATICA","2016-02-20",21,5,"SABADO"
127,"M","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Ergonomic Wool Watch",28.95,"BRINQUEDOS","2016-08-21",28,8,"SABADO"
128,"F","CASADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Sleek Cotton Computer",54.14,"BELEZA E PERFUMARIA","2016-08-03",8,7,"SABADO"
129,"F","VIUVO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Enormous Linen Shirt",53.44,"BELEZA E PERFUMARIA","2016-09-13",16,12,"SABADO"
130,"M","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Enormous Wooden Hat",91.44,"BRINQUEDOS","2016-12-10",10,12,"SABADO"
131,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Fantastic Steel Lamp",32.73,"BELEZA E PERFUMARIA","2016-03-28",28,2,"SABADO"
132,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Heavy Duty Rubber Bag",13.45,"BRINQUEDOS","2016-02-18",4,8,"SABADO"
133,"F","VIUVO","VITORIA","CENTRO","ESPIRITO SANTO","Ergonomic Wooden Bench",13.23,"GAMES","2016-08-02",8,4,"SEXTA"
134,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Aerodynamic Concrete Shirt",63.09,"BRINQUEDOS","2016-01-29",31,9,"SEXTA"
135,"F","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Synergistic Linen Computer",49.55,"INFORMATICA","2016-08-14",14,3,"DOMINGO"
136,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Enormous Cotton Knife",70.22,"BELEZA E PERFUMARIA","2016-02-19",4,11,"SABADO"
137,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Lightweight Linen Bag",32.15,"LIVROS","2016-01-07",22,9,"SEXTA"
138,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Copper Car",17.48,"GAMES","2016-06-26",28,6,"SEGUNDA"
139,"M","DIVORCIADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Ergonomic Steel Shoes",80.56,"GAMES","2016-03-05",16,10,"SABADO"
140,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Durable Paper Gloves",31.56,"INFORMATICA","2016-03-16",14,1,"QUINTA"
141,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Ergonomic Bronze Lamp",8,"GAMES","2016-11-08",28,11,"QUARTA"
142,"M","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Fantastic Granite Keyboard",49.81,"BRINQUEDOS","2016-03-11",12,8,"SEXTA"
143,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Ergonomic Silk Bench",52.65,"GAMES","2016-06-17",11,11,"SEXTA"
144,"F","DIVORCIADO","VITORIA","CENTRO","ESPIRITO SANTO","Aerodynamic Cotton Keyboard",69.04,"INFORMATICA","2016-01-22",31,10,"QUINTA"
145,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Fantastic Aluminum Gloves",62.88,"INFORMATICA","2016-07-14",17,7,"SABADO"
146,"F","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Sleek Steel Bag",11.69,"INFORMATICA","2016-05-13",15,11,"SABADO"
147,"F","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Intelligent Plastic Watch",67.06,"BELEZA E PERFUMARIA","2016-03-27",8,11,"SABADO"
148,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Durable Granite Clock",52.78,"CELULARES E TELEFONIA","2016-07-30",10,6,"SABADO"
