@RELATION compras

@ATTRIBUTE id NUMERIC
@ATTRIBUTE sexo STRING
@ATTRIBUTE estado_civil STRING
@ATTRIBUTE cidade STRING
@ATTRIBUTE bairro STRING
@ATTRIBUTE estado STRING
@ATTRIBUTE produto STRING
@ATTRIBUTE preco NUMERIC
@ATTRIBUTE estabelecimento STRING
@ATTRIBUTE data_compra DATE "yyyy-MM-dd"

@DATA
1059,"M","CASADO","VITORIA","SAO PEDRO","Maranhão","Rustic Aluminum Keyboard",63.25,"Electronics & Shoes","2017-11-02"
1060,"F","CASADO","VITORIA","MARUÍPE","Rio Grande do Sul","Incredible Marble Shirt",24.93,"Health, Shoes & Kids","2017-10-16"
1061,"M","CASADO","VITORIA","JARDIM CAMBURI","Goiás","Rustic Wooden Hat",22.03,"Clothing & Outdoors","2017-09-29"
1062,"M","CASADO","VITORIA","JARDIM DA PENHA","Distrito Federal","Ergonomic Silk Clock",61.11,"Tools, Baby & Outdoors","2017-10-04"
1063,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","Minas Gerais","Mediocre Leather Shirt",26.31,"Industrial, Games & Tools","2017-11-08"
1064,"M","VIÚVO","VITORIA","SAO PEDRO","Rio Grande do Sul","Incredible Wool Gloves",97.51,"Clothing","2017-10-17"
1065,"M","VIÚVO","VITORIA","CENTRO","Goiás","Fantastic Linen Bag",15.88,"Clothing","2017-10-20"
1066,"F","SOLTEIRO","VITORIA","CENTRO","Rio Grande do Sul","Gorgeous Wooden Table",17.58,"Toys, Sports & Home","2017-09-13"
1067,"M","VIÚVO","VITORIA","PRAIA DO CANTO","Sergipe","Sleek Aluminum Shirt",70.77,"Electronics & Toys","2017-10-20"
1068,"F","CASADO","VITORIA","JUCUTUQUARA","Tocantins","Ergonomic Silk Pants",24.62,"Grocery, Beauty & Computers","2017-09-19"
1069,"F","DIVORCIADO","VITORIA","PRAIA DO CANTO","Roraima","Mediocre Silk Keyboard",45.53,"Computers","2017-10-22"
1070,"F","CASADO","VITORIA","MARUÍPE","Espírito Santo","Intelligent Copper Computer",23.79,"Baby, Industrial & Clothing","2017-10-09"
1071,"M","VIÚVO","VITORIA","SAO PEDRO","Santa Catarina","Practical Steel Pants",33.76,"Computers, Beauty & Toys","2017-09-28"
1072,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","Rondônia","Heavy Duty Cotton Table",51.94,"Kids & Computers","2017-09-29"
1073,"F","DIVORCIADO","VITORIA","MARUÍPE","Minas Gerais","Ergonomic Cotton Table",69.98,"Clothing, Movies & Sports","2017-11-05"
1074,"M","VIÚVO","VITORIA","MARUÍPE","Minas Gerais","Gorgeous Concrete Watch",33.22,"Music & Shoes","2017-10-25"
1075,"F","DIVORCIADO","VITORIA","JARDIM DA PENHA","Paraíba","Intelligent Rubber Plate",75.86,"Jewelry","2017-10-02"
1076,"M","CASADO","VITORIA","CENTRO","Tocantins","Mediocre Iron Watch",82.98,"Music, Toys & Beauty","2017-09-25"
1077,"F","CASADO","VITORIA","SANTO ANTONIO","Espírito Santo","Incredible Marble Coat",89.86,"Shoes","2017-11-04"
1078,"M","VIÚVO","VITORIA","SANTO ANTONIO","Rio Grande do Sul","Mediocre Rubber Pants",18.21,"Automotive & Toys","2017-10-08"
1079,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","Amapá","Small Paper Bench",32.31,"Jewelry, Baby & Shoes","2017-09-18"
1080,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","Mato Grosso do Sul","Mediocre Concrete Keyboard",88.31,"Beauty, Outdoors & Tools","2017-09-28"
1081,"M","VIÚVO","VITORIA","CENTRO","Espírito Santo","Enormous Linen Gloves",1.13,"Sports & Electronics","2017-09-22"
1082,"M","CASADO","VITORIA","SAO PEDRO","Sergipe","Fantastic Cotton Shoes",68.63,"Garden & Sports","2017-10-24"
1083,"M","SOLTEIRO","VITORIA","MARUÍPE","Distrito Federal","Heavy Duty Wooden Clock",27.84,"Movies & Music","2017-09-10"
1084,"M","DIVORCIADO","VITORIA","GOIABEIRAS","Espírito Santo","Small Rubber Hat",62.69,"Garden","2017-09-23"
1085,"M","VIÚVO","VITORIA","PRAIA DO CANTO","Minas Gerais","Gorgeous Rubber Gloves",54.58,"Sports & Games","2017-09-27"
1086,"F","SOLTEIRO","VITORIA","MARUÍPE","Amazonas","Small Aluminum Chair",35.67,"Shoes, Home & Garden","2017-09-19"
1087,"M","CASADO","VITORIA","JARDIM CAMBURI","São Paulo","Fantastic Rubber Coat",52.43,"Garden & Outdoors","2017-10-26"
1088,"F","DIVORCIADO","VITORIA","MARUÍPE","Goiás","Sleek Iron Wallet",75.83,"Movies","2017-10-31"
1089,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","São Paulo","Ergonomic Concrete Coat",54.31,"Sports & Home","2017-09-12"
1090,"F","SOLTEIRO","VITORIA","SAO PEDRO","São Paulo","Lightweight Granite Bench",36.15,"Outdoors","2017-09-24"
1091,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","Ceará","Enormous Bronze Wallet",10.4,"Movies","2017-09-25"
1092,"M","DIVORCIADO","VITORIA","MARUÍPE","Paraná","Awesome Paper Clock",39.61,"Music & Outdoors","2017-11-04"
1093,"F","DIVORCIADO","VITORIA","SAO PEDRO","Rio de Janeiro","Small Cotton Bottle",3.52,"Games & Home","2017-10-03"
1094,"F","DIVORCIADO","VITORIA","JARDIM DA PENHA","Tocantins","Aerodynamic Aluminum Computer",63.4,"Automotive & Kids","2017-09-19"
1095,"M","CASADO","VITORIA","CENTRO","Roraima","Incredible Wooden Coat",60.28,"Clothing, Grocery & Electronics","2017-10-03"
1096,"M","DIVORCIADO","VITORIA","CENTRO","Mato Grosso","Awesome Paper Bench",61.88,"Kids & Movies","2017-10-29"
1097,"F","DIVORCIADO","VITORIA","SAO PEDRO","Espírito Santo","Heavy Duty Marble Plate",56.66,"Clothing & Baby","2017-10-03"
1098,"F","CASADO","VITORIA","JARDIM CAMBURI","Rondônia","Enormous Aluminum Bag",94.79,"Health","2017-09-19"
1099,"F","VIÚVO","VITORIA","PRAIA DO CANTO","Paraná","Lightweight Wool Knife",14.84,"Games, Kids & Jewelry","2017-10-22"
1100,"F","VIÚVO","VITORIA","JUCUTUQUARA","Rondônia","Lightweight Paper Hat",51.33,"Kids & Garden","2017-09-24"
1101,"F","CASADO","VITORIA","PRAIA DO CANTO","Mato Grosso","Intelligent Iron Lamp",49.15,"Movies","2017-10-16"
1102,"M","CASADO","VITORIA","SAO PEDRO","Pernambuco","Synergistic Concrete Keyboard",3.54,"Kids, Games & Beauty","2017-09-28"
1103,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","Minas Gerais","Practical Bronze Clock",96.77,"Toys, Tools & Movies","2017-09-17"
1104,"M","CASADO","VITORIA","CENTRO","Mato Grosso","Awesome Wooden Watch",74.47,"Tools, Home & Kids","2017-09-27"
1105,"F","CASADO","VITORIA","SAO PEDRO","Alagoas","Synergistic Marble Bottle",40.33,"Industrial","2017-10-05"
1106,"F","DIVORCIADO","VITORIA","MARUÍPE","Rio de Janeiro","Lightweight Plastic Shoes",28.02,"Kids & Games","2017-09-15"
1107,"M","CASADO","VITORIA","PRAIA DO CANTO","Minas Gerais","Synergistic Cotton Bag",83.45,"Jewelry","2017-10-04"
1108,"F","DIVORCIADO","VITORIA","SANTO ANTONIO","Amapá","Mediocre Bronze Shoes",6.86,"Jewelry & Health","2017-09-27"
1109,"M","VIÚVO","VITORIA","JARDIM DA PENHA","Espírito Santo","Incredible Copper Knife",91.95,"Outdoors & Music","2017-10-31"
1110,"M","CASADO","VITORIA","SAO PEDRO","Pernambuco","Incredible Marble Wallet",40.19,"Music & Health","2017-10-18"
1111,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","Santa Catarina","Practical Concrete Wallet",6.28,"Sports, Beauty & Outdoors","2017-09-18"
1112,"F","VIÚVO","VITORIA","SANTO ANTONIO","Goiás","Sleek Bronze Computer",65.76,"Games & Toys","2017-09-22"
1113,"M","CASADO","VITORIA","JARDIM DA PENHA","Rio Grande do Norte","Practical Granite Clock",41.7,"Grocery, Industrial & Home","2017-10-12"
1114,"F","SOLTEIRO","VITORIA","GOIABEIRAS","Roraima","Awesome Wool Hat",74.64,"Computers","2017-10-05"
1115,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","Mato Grosso","Enormous Paper Bench",97.29,"Grocery","2017-10-19"
1116,"F","VIÚVO","VITORIA","CENTRO","Amapá","Fantastic Aluminum Wallet",82.64,"Tools, Garden & Industrial","2017-09-20"
1117,"M","DIVORCIADO","VITORIA","SAO PEDRO","Minas Gerais","Synergistic Wooden Chair",46.19,"Computers & Tools","2017-10-20"
1118,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","Sergipe","Practical Rubber Gloves",63.38,"Music, Tools & Garden","2017-10-14"
1119,"F","VIÚVO","VITORIA","JARDIM CAMBURI","São Paulo","Small Granite Car",54.77,"Jewelry","2017-10-05"
1120,"M","DIVORCIADO","VITORIA","JUCUTUQUARA","Piauí","Small Cotton Clock",54.09,"Music, Clothing & Sports","2017-10-18"
1121,"M","CASADO","VITORIA","SAO PEDRO","Espírito Santo","Sleek Wool Bag",94.22,"Sports & Movies","2017-10-14"
1122,"F","CASADO","VITORIA","JUCUTUQUARA","Rio Grande do Norte","Ergonomic Wool Shirt",76.36,"Music","2017-09-30"
1123,"F","VIÚVO","VITORIA","JARDIM CAMBURI","Tocantins","Gorgeous Linen Hat",63.56,"Games, Automotive & Toys","2017-10-14"
1124,"M","VIÚVO","VITORIA","SANTO ANTONIO","Amazonas","Synergistic Silk Lamp",17.45,"Computers & Shoes","2017-10-20"
1125,"M","VIÚVO","VITORIA","JARDIM CAMBURI","Maranhão","Rustic Iron Car",83.23,"Tools","2017-09-16"
1126,"M","DIVORCIADO","VITORIA","SANTO ANTONIO","Ceará","Aerodynamic Wool Computer",23.1,"Games","2017-09-16"
1127,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","Acre","Aerodynamic Plastic Hat",91.62,"Music, Outdoors & Baby","2017-10-15"
1128,"M","SOLTEIRO","VITORIA","JUCUTUQUARA","Rondônia","Durable Wooden Shoes",77.61,"Sports, Shoes & Automotive","2017-10-07"
1129,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","Rio Grande do Sul","Intelligent Wooden Keyboard",98.32,"Beauty, Industrial & Home","2017-10-17"
1130,"M","VIÚVO","VITORIA","JARDIM CAMBURI","Alagoas","Heavy Duty Rubber Bag",51.17,"Music, Tools & Electronics","2017-10-17"
1131,"M","VIÚVO","VITORIA","PRAIA DO CANTO","Pará","Fantastic Leather Car",17.99,"Kids & Movies","2017-09-15"
1132,"F","VIÚVO","VITORIA","JUCUTUQUARA","Pernambuco","Rustic Wool Coat",46.03,"Jewelry, Kids & Clothing","2017-09-14"
1133,"M","DIVORCIADO","VITORIA","CENTRO","Mato Grosso do Sul","Fantastic Plastic Knife",76.6,"Shoes, Tools & Toys","2017-09-21"
1134,"M","VIÚVO","VITORIA","SAO PEDRO","Tocantins","Lightweight Granite Bag",54.8,"Electronics","2017-10-03"
1135,"M","CASADO","VITORIA","JARDIM DA PENHA","Distrito Federal","Ergonomic Wooden Bottle",17.27,"Health","2017-10-27"
1136,"F","DIVORCIADO","VITORIA","JUCUTUQUARA","Bahia","Rustic Linen Knife",33.37,"Baby","2017-10-11"
1137,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","Paraná","Lightweight Concrete Plate",2.74,"Sports & Beauty","2017-11-05"
1138,"F","DIVORCIADO","VITORIA","SANTO ANTONIO","São Paulo","Small Concrete Bottle",92.42,"Electronics, Industrial & Games","2017-09-15"
1139,"M","CASADO","VITORIA","JARDIM CAMBURI","Acre","Mediocre Rubber Shirt",18.62,"Toys","2017-09-27"
1140,"F","VIÚVO","VITORIA","GOIABEIRAS","Ceará","Synergistic Wool Wallet",55.92,"Sports & Home","2017-10-16"
1141,"M","VIÚVO","VITORIA","JARDIM DA PENHA","Sergipe","Intelligent Leather Watch",68.59,"Games, Tools & Home","2017-10-08"
1142,"F","DIVORCIADO","VITORIA","JARDIM DA PENHA","Paraná","Ergonomic Bronze Computer",58.13,"Shoes","2017-11-09"
1143,"M","DIVORCIADO","VITORIA","CENTRO","Pernambuco","Awesome Rubber Chair",38.5,"Automotive & Grocery","2017-10-20"
1144,"M","CASADO","VITORIA","MARUÍPE","Amapá","Sleek Bronze Coat",45.94,"Baby","2017-09-14"
1145,"M","SOLTEIRO","VITORIA","SANTO ANTONIO","Rio Grande do Sul","Durable Paper Watch",53.03,"Music","2017-10-04"
1146,"M","CASADO","VITORIA","SANTO ANTONIO","Maranhão","Mediocre Rubber Clock",90.07,"Kids, Baby & Industrial","2017-09-18"
1147,"F","SOLTEIRO","VITORIA","CENTRO","Roraima","Synergistic Cotton Coat",47.46,"Sports & Grocery","2017-10-05"
1148,"M","SOLTEIRO","VITORIA","SANTO ANTONIO","Amazonas","Synergistic Granite Watch",77.15,"Automotive & Tools","2017-10-26"
1149,"F","VIÚVO","VITORIA","SANTO ANTONIO","Rio Grande do Norte","Practical Leather Computer",3.29,"Health, Tools & Industrial","2017-10-20"
1150,"F","DIVORCIADO","VITORIA","JUCUTUQUARA","Goiás","Synergistic Linen Hat",15.15,"Books","2017-10-10"
1151,"M","CASADO","VITORIA","PRAIA DO CANTO","Acre","Practical Wool Car",80.3,"Jewelry","2017-09-13"
1152,"F","CASADO","VITORIA","JARDIM CAMBURI","Santa Catarina","Lightweight Cotton Knife",42.04,"Health, Toys & Home","2017-09-22"
1153,"F","CASADO","VITORIA","JUCUTUQUARA","Paraná","Awesome Wooden Shirt",23.12,"Jewelry & Electronics","2017-09-21"
1154,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","Piauí","Rustic Rubber Clock",58.64,"Books","2017-11-03"
1155,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","Piauí","Lightweight Paper Wallet",18.14,"Garden, Grocery & Games","2017-09-14"
1156,"M","VIÚVO","VITORIA","SAO PEDRO","São Paulo","Durable Concrete Lamp",73.86,"Health","2017-09-18"
1157,"F","CASADO","VITORIA","PRAIA DO CANTO","Rio de Janeiro","Practical Wool Table",20.13,"Electronics, Music & Jewelry","2017-10-30"
1158,"F","DIVORCIADO","VITORIA","JUCUTUQUARA","São Paulo","Mediocre Iron Lamp",35.65,"Shoes & Books","2017-09-28"
1159,"M","DIVORCIADO","VITORIA","CENTRO","Rondônia","Gorgeous Bronze Hat",94.27,"Computers","2017-11-05"
1160,"M","SOLTEIRO","VITORIA","SANTO ANTONIO","Ceará","Durable Marble Shoes",14.59,"Sports, Kids & Toys","2017-11-01"
1161,"M","SOLTEIRO","VITORIA","GOIABEIRAS","Paraíba","Mediocre Bronze Keyboard",76.13,"Clothing","2017-10-29"
1162,"F","CASADO","VITORIA","JARDIM CAMBURI","Rio Grande do Norte","Mediocre Steel Bottle",24.27,"Health, Shoes & Grocery","2017-10-16"
1163,"F","SOLTEIRO","VITORIA","GOIABEIRAS","Distrito Federal","Ergonomic Steel Computer",82.74,"Movies & Beauty","2017-09-11"
1164,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","Rio Grande do Sul","Sleek Rubber Car",4.94,"Health","2017-09-14"
1165,"M","VIÚVO","VITORIA","JARDIM CAMBURI","Pará","Enormous Silk Bench",0.94,"Baby","2017-09-20"
1166,"M","CASADO","VITORIA","JARDIM CAMBURI","Acre","Mediocre Leather Table",51.1,"Games","2017-11-06"
1167,"M","VIÚVO","VITORIA","JARDIM CAMBURI","Piauí","Synergistic Cotton Wallet",88.35,"Tools, Sports & Outdoors","2017-10-25"
1168,"F","CASADO","VITORIA","JARDIM DA PENHA","Piauí","Aerodynamic Concrete Bottle",53.92,"Movies & Clothing","2017-10-27"
1169,"M","VIÚVO","VITORIA","PRAIA DO CANTO","Amapá","Enormous Wool Wallet",28.9,"Computers","2017-09-25"
1170,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","Mato Grosso","Incredible Linen Gloves",67.44,"Games","2017-10-28"
1171,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","Minas Gerais","Incredible Copper Clock",60.13,"Movies, Kids & Industrial","2017-10-16"
1172,"F","SOLTEIRO","VITORIA","CENTRO","Minas Gerais","Awesome Aluminum Shoes",0.62,"Automotive & Home","2017-10-21"
1173,"M","VIÚVO","VITORIA","PRAIA DO CANTO","Minas Gerais","Aerodynamic Aluminum Bench",15.51,"Computers","2017-10-23"
1174,"F","DIVORCIADO","VITORIA","JARDIM DA PENHA","Pernambuco","Rustic Steel Coat",56.53,"Shoes & Outdoors","2017-09-15"
1175,"F","VIÚVO","VITORIA","JUCUTUQUARA","Pará","Awesome Iron Watch",47.5,"Tools & Outdoors","2017-10-16"
1176,"F","SOLTEIRO","VITORIA","CENTRO","Acre","Incredible Copper Clock",18.68,"Beauty","2017-10-19"
1177,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","Distrito Federal","Fantastic Wooden Watch",32.45,"Home, Tools & Toys","2017-10-08"
1178,"M","CASADO","VITORIA","SANTO ANTONIO","Minas Gerais","Fantastic Silk Plate",67.28,"Tools, Games & Automotive","2017-11-07"
1179,"F","CASADO","VITORIA","JUCUTUQUARA","Pernambuco","Practical Rubber Lamp",14.53,"Electronics","2017-09-25"
1180,"F","DIVORCIADO","VITORIA","JARDIM DA PENHA","Ceará","Intelligent Wool Wallet",67.32,"Kids, Home & Books","2017-10-15"
1181,"M","VIÚVO","VITORIA","MARUÍPE","Alagoas","Synergistic Wool Shirt",71.27,"Tools","2017-10-17"
1182,"M","VIÚVO","VITORIA","SANTO ANTONIO","Alagoas","Enormous Leather Lamp",60.47,"Tools & Health","2017-10-13"
1183,"M","DIVORCIADO","VITORIA","CENTRO","Goiás","Ergonomic Cotton Watch",34.92,"Outdoors","2017-10-24"
1184,"F","DIVORCIADO","VITORIA","JUCUTUQUARA","Ceará","Practical Concrete Bottle",43.51,"Health","2017-10-29"
1185,"M","SOLTEIRO","VITORIA","JUCUTUQUARA","Minas Gerais","Practical Iron Chair",34.37,"Computers","2017-09-11"
1186,"F","SOLTEIRO","VITORIA","GOIABEIRAS","Paraná","Rustic Leather Chair",33.53,"Grocery, Computers & Electronics","2017-09-15"
1187,"F","CASADO","VITORIA","GOIABEIRAS","Piauí","Rustic Rubber Plate",32.01,"Kids","2017-10-03"
1188,"M","VIÚVO","VITORIA","CENTRO","Mato Grosso","Sleek Bronze Gloves",1.06,"Health","2017-10-05"
1189,"F","CASADO","VITORIA","SAO PEDRO","Amazonas","Intelligent Leather Coat",91.63,"Automotive & Jewelry","2017-09-25"
1190,"M","DIVORCIADO","VITORIA","SANTO ANTONIO","Pernambuco","Incredible Linen Bag",22.71,"Sports","2017-10-01"
1191,"M","VIÚVO","VITORIA","SANTO ANTONIO","Roraima","Enormous Bronze Coat",62.91,"Health & Home","2017-10-15"
1192,"F","DIVORCIADO","VITORIA","JUCUTUQUARA","Bahia","Durable Paper Clock",84.84,"Clothing & Automotive","2017-10-11"
1193,"F","CASADO","VITORIA","JARDIM CAMBURI","Minas Gerais","Enormous Iron Chair",44.07,"Clothing & Books","2017-10-23"
1194,"M","VIÚVO","VITORIA","JUCUTUQUARA","Mato Grosso","Ergonomic Marble Gloves",20.96,"Games, Jewelry & Grocery","2017-11-03"
