@RELATION compras

@ATTRIBUTE id NUMERIC
@ATTRIBUTE sexo {F,M}
@ATTRIBUTE estado_civil {DIVORCIADO, SOLTEIRO, VIUVO, CASADO}
@ATTRIBUTE cidade {VITORIA}
@ATTRIBUTE bairro {CENTRO, 'SANTO ANTONIO', JUCUTUQUARA, MARUIPE, 'PRAIA DO CANTO', 'SAO PEDRO', GOIABEIRAS, 'JARDIM CAMBURI', 'JARDIM DA PENHA'}
@ATTRIBUTE estado {'ESPIRITO SANTO'}
@ATTRIBUTE produto STRING
@ATTRIBUTE preco NUMERIC
@ATTRIBUTE estabelecimento {INFORMATICA, BRINQUEDOS, 'CELULARES E TELEFONIA', ELETRODOMESTICOS, 'BELEZA E PERFUMARIA', GAMES, LIVROS, DECORACAO}
@ATTRIBUTE data_compra DATE "yyyy-MM-dd"
@ATTRIBUTE data_compra_dia NUMERIC
@ATTRIBUTE data_compra_mes NUMERIC
@ATTRIBUTE data_compra_semana {Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday}

@DATA
25,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Rustic Concrete Pants",95.86,"BRINQUEDOS","2016-04-10T21:00:00-03:00",10,4,"Sunday"
26,"F","DIVORCIADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Intelligent Iron Shoes",28.55,"ELETRODOMESTICOS","2016-07-24T21:00:00-03:00",24,7,"Sunday"
27,"M","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Incredible Rubber Chair",89.34,"INFORMATICA","2016-03-23T21:00:00-03:00",23,3,"Wednesday"
28,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Incredible Concrete Clock",73.68,"INFORMATICA","2016-10-01T21:00:00-03:00",1,10,"Saturday"
29,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Enormous Bronze Lamp",44.16,"INFORMATICA","2016-01-15T22:00:00-02:00",15,1,"Friday"
30,"M","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Small Cotton Lamp",75.32,"BRINQUEDOS","2016-12-24T22:00:00-02:00",24,12,"Saturday"
31,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Rustic Concrete Bottle",36.42,"ELETRODOMESTICOS","2016-05-11T21:00:00-03:00",11,5,"Wednesday"
32,"M","CASADO","VITORIA","CENTRO","ESPIRITO SANTO","Enormous Cotton Lamp",95.4,"BRINQUEDOS","2016-12-21T22:00:00-02:00",21,12,"Wednesday"
33,"M","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Linen Car",19.69,"BELEZA E PERFUMARIA","2016-03-31T21:00:00-03:00",31,3,"Thursday"
34,"M","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Incredible Wool Coat",64.72,"LIVROS","2016-09-23T21:00:00-03:00",23,9,"Friday"
35,"M","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Intelligent Marble Lamp",31.83,"INFORMATICA","2016-06-03T21:00:00-03:00",3,6,"Friday"
36,"F","VIUVO","VITORIA","CENTRO","ESPIRITO SANTO","Practical Linen Lamp",94.45,"INFORMATICA","2016-11-25T22:00:00-02:00",25,11,"Friday"
37,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Enormous Iron Clock",14.96,"CELULARES E TELEFONIA","2016-06-22T21:00:00-03:00",22,6,"Wednesday"
38,"M","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Practical Bronze Computer",95.82,"INFORMATICA","2016-01-16T22:00:00-02:00",16,1,"Saturday"
39,"F","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Intelligent Leather Keyboard",32.48,"INFORMATICA","2016-02-27T21:00:00-03:00",27,2,"Saturday"
40,"F","VIUVO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Synergistic Rubber Shoes",53.6,"CELULARES E TELEFONIA","2016-11-19T22:00:00-02:00",19,11,"Saturday"
41,"M","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Enormous Wooden Clock",99.94,"GAMES","2016-02-06T22:00:00-02:00",6,2,"Saturday"
42,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Sleek Wooden Lamp",42.92,"ELETRODOMESTICOS","2016-10-16T22:00:00-02:00",16,10,"Sunday"
43,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Gorgeous Plastic Keyboard",68.89,"BRINQUEDOS","2016-04-12T21:00:00-03:00",12,4,"Tuesday"
44,"F","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Rustic Plastic Bench",97.72,"BELEZA E PERFUMARIA","2016-04-02T21:00:00-03:00",2,4,"Saturday"
45,"M","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Rustic Silk Wallet",86.01,"GAMES","2016-09-10T21:00:00-03:00",10,9,"Saturday"
46,"M","VIUVO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Fantastic Linen Lamp",21.61,"DECORACAO","2016-06-09T21:00:00-03:00",9,6,"Thursday"
47,"F","DIVORCIADO","VITORIA","CENTRO","ESPIRITO SANTO","Durable Wooden Shirt",73.71,"INFORMATICA","2016-07-23T21:00:00-03:00",23,7,"Saturday"
48,"M","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Incredible Steel Car",74.9,"GAMES","2016-02-28T21:00:00-03:00",28,2,"Sunday"
49,"F","VIUVO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Enormous Rubber Watch",12.34,"BELEZA E PERFUMARIA","2016-10-26T22:00:00-02:00",26,10,"Wednesday"
50,"M","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Small Cotton Computer",84.14,"BRINQUEDOS","2016-07-16T21:00:00-03:00",16,7,"Saturday"
51,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Sleek Granite Keyboard",10.49,"INFORMATICA","2016-08-20T21:00:00-03:00",20,8,"Saturday"
52,"F","CASADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Incredible Marble Clock",20.63,"CELULARES E TELEFONIA","2016-03-19T21:00:00-03:00",19,3,"Saturday"
53,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Ergonomic Aluminum Watch",57.96,"BELEZA E PERFUMARIA","2016-06-18T21:00:00-03:00",18,6,"Saturday"
54,"F","DIVORCIADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Lightweight Iron Plate",85.36,"BELEZA E PERFUMARIA","2016-12-30T22:00:00-02:00",30,12,"Friday"
55,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Awesome Paper Table",88.9,"ELETRODOMESTICOS","2016-01-05T22:00:00-02:00",5,1,"Tuesday"
56,"M","VIUVO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Lightweight Leather Coat",42.02,"BELEZA E PERFUMARIA","2016-08-18T21:00:00-03:00",18,8,"Thursday"
57,"M","CASADO","VITORIA","MARUIPE","ESPIRITO SANTO","Fantastic Granite Shoes",54.28,"INFORMATICA","2016-06-12T21:00:00-03:00",12,6,"Sunday"
58,"M","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Fantastic Paper Car",17.2,"LIVROS","2016-02-13T22:00:00-02:00",13,2,"Saturday"
59,"F","CASADO","VITORIA","MARUIPE","ESPIRITO SANTO","Mediocre Paper Chair",5.73,"INFORMATICA","2016-01-23T22:00:00-02:00",23,1,"Saturday"
60,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Aerodynamic Linen Hat",83.4,"INFORMATICA","2016-06-04T21:00:00-03:00",4,6,"Saturday"
61,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Gorgeous Leather Car",79.67,"GAMES","2016-03-06T21:00:00-03:00",6,3,"Sunday"
62,"F","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Lightweight Leather Chair",18.65,"INFORMATICA","2016-07-31T21:00:00-03:00",31,7,"Sunday"
63,"F","DIVORCIADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Enormous Rubber Wallet",30.28,"INFORMATICA","2016-02-17T22:00:00-02:00",17,2,"Wednesday"
64,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Gorgeous Granite Chair",81.39,"INFORMATICA","2016-05-20T21:00:00-03:00",20,5,"Friday"
65,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Awesome Iron Bench",38.4,"INFORMATICA","2016-12-15T22:00:00-02:00",15,12,"Thursday"
66,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Enormous Aluminum Table",18.15,"BRINQUEDOS","2016-10-14T22:00:00-02:00",14,10,"Friday"
67,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Awesome Bronze Computer",46.43,"INFORMATICA","2016-01-27T22:00:00-02:00",27,1,"Wednesday"
68,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Intelligent Wool Knife",26.72,"BELEZA E PERFUMARIA","2016-04-30T21:00:00-03:00",30,4,"Saturday"
69,"F","VIUVO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Durable Granite Shoes",56.12,"INFORMATICA","2016-04-20T21:00:00-03:00",20,4,"Wednesday"
70,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Sleek Leather Lamp",91.17,"GAMES","2016-05-11T21:00:00-03:00",11,5,"Wednesday"
71,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Small Concrete Watch",28.63,"GAMES","2016-01-30T22:00:00-02:00",30,1,"Saturday"
72,"F","VIUVO","VITORIA","CENTRO","ESPIRITO SANTO","Rustic Silk Bag",14.8,"CELULARES E TELEFONIA","2016-08-19T21:00:00-03:00",19,8,"Friday"
73,"F","DIVORCIADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Enormous Steel Computer",61.4,"DECORACAO","2016-11-16T22:00:00-02:00",16,11,"Wednesday"
74,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Awesome Cotton Bottle",46.53,"BRINQUEDOS","2016-08-15T21:00:00-03:00",15,8,"Monday"
75,"M","DIVORCIADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Incredible Iron Lamp",34.51,"INFORMATICA","2016-02-13T22:00:00-02:00",13,2,"Saturday"
76,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Fantastic Iron Hat",99.25,"BRINQUEDOS","2016-01-22T22:00:00-02:00",22,1,"Friday"
77,"M","DIVORCIADO","VITORIA","CENTRO","ESPIRITO SANTO","Durable Iron Knife",24.24,"BRINQUEDOS","2016-09-17T21:00:00-03:00",17,9,"Saturday"
78,"M","SOLTEIRO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Practical Granite Computer",76.67,"BELEZA E PERFUMARIA","2016-06-24T21:00:00-03:00",24,6,"Friday"
79,"M","VIUVO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Small Paper Knife",47.37,"INFORMATICA","2016-04-10T21:00:00-03:00",10,4,"Sunday"
80,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Gorgeous Plastic Bag",58.57,"GAMES","2016-08-09T21:00:00-03:00",9,8,"Tuesday"
81,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Ergonomic Aluminum Shirt",87.46,"INFORMATICA","2016-07-01T21:00:00-03:00",1,7,"Friday"
82,"F","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Synergistic Marble Car",58.69,"BELEZA E PERFUMARIA","2016-12-16T22:00:00-02:00",16,12,"Friday"
83,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Awesome Rubber Keyboard",46.33,"INFORMATICA","2016-06-08T21:00:00-03:00",8,6,"Wednesday"
84,"F","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Sleek Wool Knife",52.05,"BELEZA E PERFUMARIA","2016-03-08T21:00:00-03:00",8,3,"Tuesday"
85,"F","VIUVO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Intelligent Copper Bag",13.3,"INFORMATICA","2016-05-07T21:00:00-03:00",7,5,"Saturday"
86,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Small Concrete Wallet",60.97,"INFORMATICA","2016-10-08T21:00:00-03:00",8,10,"Saturday"
87,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Gorgeous Iron Table",56.42,"INFORMATICA","2016-07-16T21:00:00-03:00",16,7,"Saturday"
88,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Intelligent Paper Bottle",49.75,"DECORACAO","2016-05-28T21:00:00-03:00",28,5,"Saturday"
89,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Sleek Bronze Wallet",18.41,"INFORMATICA","2016-01-01T22:00:00-02:00",1,1,"Friday"
90,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Aerodynamic Paper Hat",52.79,"BELEZA E PERFUMARIA","2016-08-03T21:00:00-03:00",3,8,"Wednesday"
91,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Synergistic Concrete Bottle",81.97,"BELEZA E PERFUMARIA","2016-03-16T21:00:00-03:00",16,3,"Wednesday"
92,"M","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Mediocre Linen Car",83.19,"INFORMATICA","2016-08-05T21:00:00-03:00",5,8,"Friday"
93,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Durable Rubber Chair",6.85,"INFORMATICA","2016-10-01T21:00:00-03:00",1,10,"Saturday"
94,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Intelligent Silk Shoes",91.06,"LIVROS","2016-08-14T21:00:00-03:00",14,8,"Sunday"
95,"M","SOLTEIRO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Rustic Linen Bench",41.03,"INFORMATICA","2016-02-14T22:00:00-02:00",14,2,"Sunday"
96,"M","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Intelligent Marble Pants",26.68,"CELULARES E TELEFONIA","2016-07-24T21:00:00-03:00",24,7,"Sunday"
97,"F","VIUVO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Enormous Cotton Table",42.07,"ELETRODOMESTICOS","2016-01-16T22:00:00-02:00",16,1,"Saturday"
98,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Enormous Linen Wallet",45.24,"BRINQUEDOS","2016-11-30T22:00:00-02:00",30,11,"Wednesday"
99,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Durable Paper Gloves",84.29,"LIVROS","2016-05-18T21:00:00-03:00",18,5,"Wednesday"
100,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Synergistic Iron Shoes",20.03,"INFORMATICA","2016-06-17T21:00:00-03:00",17,6,"Friday"
101,"M","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Bronze Table",94.64,"BELEZA E PERFUMARIA","2016-02-26T21:00:00-03:00",26,2,"Friday"
102,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Gorgeous Copper Table",81.29,"BRINQUEDOS","2016-04-30T21:00:00-03:00",30,4,"Saturday"
103,"F","VIUVO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Sleek Wool Pants",17.53,"CELULARES E TELEFONIA","2016-10-16T22:00:00-02:00",16,10,"Sunday"
104,"F","CASADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Intelligent Granite Pants",42.64,"BRINQUEDOS","2016-01-03T22:00:00-02:00",3,1,"Sunday"
105,"M","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Aerodynamic Steel Watch",90.92,"BELEZA E PERFUMARIA","2016-06-09T21:00:00-03:00",9,6,"Thursday"
106,"F","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Durable Iron Hat",22.48,"BRINQUEDOS","2016-02-28T21:00:00-03:00",28,2,"Sunday"
107,"M","VIUVO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Lightweight Concrete Computer",73.77,"BELEZA E PERFUMARIA","2016-02-19T22:00:00-02:00",19,2,"Friday"
108,"F","DIVORCIADO","VITORIA","MARUIPE","ESPIRITO SANTO","Mediocre Aluminum Bench",19.34,"BELEZA E PERFUMARIA","2016-09-23T21:00:00-03:00",23,9,"Friday"
109,"M","DIVORCIADO","VITORIA","CENTRO","ESPIRITO SANTO","Synergistic Concrete Computer",85.52,"CELULARES E TELEFONIA","2016-01-29T22:00:00-02:00",29,1,"Friday"
110,"F","SOLTEIRO","VITORIA","CENTRO","ESPIRITO SANTO","Enormous Aluminum Shirt",6.14,"LIVROS","2016-09-02T21:00:00-03:00",2,9,"Friday"
111,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Practical Leather Chair",30.41,"BRINQUEDOS","2016-05-14T21:00:00-03:00",14,5,"Saturday"
112,"F","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Incredible Rubber Knife",74.54,"DECORACAO","2016-06-22T21:00:00-03:00",22,6,"Wednesday"
113,"M","CASADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Fantastic Cotton Watch",80.16,"CELULARES E TELEFONIA","2016-09-15T21:00:00-03:00",15,9,"Thursday"
114,"F","VIUVO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Heavy Duty Concrete Gloves",69.02,"BRINQUEDOS","2016-12-22T22:00:00-02:00",22,12,"Thursday"
115,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Aerodynamic Marble Plate",46.87,"DECORACAO","2016-08-27T21:00:00-03:00",27,8,"Saturday"
116,"F","DIVORCIADO","VITORIA","MARUIPE","ESPIRITO SANTO","Mediocre Silk Shoes",23.72,"ELETRODOMESTICOS","2016-08-06T21:00:00-03:00",6,8,"Saturday"
117,"F","DIVORCIADO","VITORIA","GOIABEIRAS","ESPIRITO SANTO","Durable Plastic Watch",90.91,"BELEZA E PERFUMARIA","2016-03-05T21:00:00-03:00",5,3,"Saturday"
118,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Mediocre Plastic Lamp",63.13,"BRINQUEDOS","2016-08-01T21:00:00-03:00",1,8,"Monday"
119,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Synergistic Silk Shoes",36.96,"BELEZA E PERFUMARIA","2016-02-27T21:00:00-03:00",27,2,"Saturday"
120,"M","CASADO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Heavy Duty Plastic Bag",96.86,"BRINQUEDOS","2016-04-09T21:00:00-03:00",9,4,"Saturday"
121,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Incredible Paper Gloves",62.07,"BRINQUEDOS","2016-07-29T21:00:00-03:00",29,7,"Friday"
122,"F","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Enormous Aluminum Bag",98.97,"ELETRODOMESTICOS","2016-10-12T22:00:00-02:00",12,10,"Wednesday"
123,"M","VIUVO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Lightweight Cotton Gloves",98.81,"BRINQUEDOS","2016-06-25T21:00:00-03:00",25,6,"Saturday"
124,"F","CASADO","VITORIA","SAO PEDRO","ESPIRITO SANTO","Rustic Wooden Bag",45.75,"INFORMATICA","2016-12-04T22:00:00-02:00",4,12,"Sunday"
125,"F","SOLTEIRO","VITORIA","JARDIM DA PENHA","ESPIRITO SANTO","Gorgeous Linen Watch",12.48,"INFORMATICA","2016-04-29T21:00:00-03:00",29,4,"Friday"
126,"M","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Rustic Leather Chair",35.11,"BRINQUEDOS","2016-06-22T21:00:00-03:00",22,6,"Wednesday"
127,"F","SOLTEIRO","VITORIA","MARUIPE","ESPIRITO SANTO","Awesome Wooden Keyboard",13.91,"BRINQUEDOS","2016-11-19T22:00:00-02:00",19,11,"Saturday"
128,"F","CASADO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Heavy Duty Paper Computer",4.82,"LIVROS","2016-11-04T22:00:00-02:00",4,11,"Friday"
129,"M","SOLTEIRO","VITORIA","PRAIA DO CANTO","ESPIRITO SANTO","Synergistic Bronze Shirt",47.88,"BELEZA E PERFUMARIA","2016-10-29T22:00:00-02:00",29,10,"Saturday"
130,"F","SOLTEIRO","VITORIA","SANTO ANTONIO","ESPIRITO SANTO","Lightweight Steel Lamp",81.61,"INFORMATICA","2016-02-27T21:00:00-03:00",27,2,"Saturday"
131,"M","CASADO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Durable Concrete Pants",58.6,"ELETRODOMESTICOS","2016-05-06T21:00:00-03:00",6,5,"Friday"
132,"F","CASADO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Ergonomic Silk Gloves",46.45,"INFORMATICA","2016-03-17T21:00:00-03:00",17,3,"Thursday"
133,"M","SOLTEIRO","VITORIA","JUCUTUQUARA","ESPIRITO SANTO","Small Cotton Watch",31.19,"INFORMATICA","2016-12-24T22:00:00-02:00",24,12,"Saturday"
134,"F","SOLTEIRO","VITORIA","JARDIM CAMBURI","ESPIRITO SANTO","Small Rubber Coat",44.4,"INFORMATICA","2016-06-03T21:00:00-03:00",3,6,"Friday"
